Store,Product,06/05/2024,13/05/2024,20/05/2024
0,126,0,0,0
0,182,1,1,1
1,124,14,9,10
2,124,15,9,10
2,126,0,0,0
3,126,1,1,1
4,124,16,10,11
4,126,0,0,0
5,126,0,0,0
6,124,12,7,8
7,126,0,0,0
8,126,0,0,0
9,49,1,1,1
9,124,15,16,15
9,126,0,0,0
10,126,0,0,0
11,126,0,0,0
12,124,13,8,8
13,103,0,0,0
14,124,27,16,18
14,126,3,3,3
15,126,0,0,0
16,126,0,0,0
17,126,0,0,0
18,124,21,13,14
18,126,1,1,1
19,17,13,12,12
19,103,5,3,4
20,126,0,0,0
21,124,8,6,6
21,126,2,1,1
22,126,0,0,0
23,124,14,9,9
24,126,0,0,0
25,124,7,7,7
25,126,0,0,0
26,126,6,3,4
27,124,12,7,8
27,126,1,0,0
28,17,28,17,19
28,103,2,1,1
29,17,15,9,10
30,126,1,1,1
31,126,0,0,0
32,124,14,8,9
32,126,0,0,0
33,126,1,1,1
34,17,6,6,6
34,103,1,0,0
35,17,14,9,9
36,124,9,9,9
36,126,0,0,0
37,103,5,3,4
38,126,2,2,2
39,17,11,7,7
40,17,6,7,7
40,103,0,0,0
41,17,7,6,6
41,103,2,1,1
42,17,2,2,2
42,103,1,1,1
43,17,4,4,3
44,17,8,8,7
44,103,2,1,1
45,17,11,11,11
45,103,3,2,2
46,126,0,0,0
47,124,9,5,6
48,126,0,0,0
49,17,7,7,7
49,103,1,1,1
50,126,5,3,4
51,124,8,5,5
52,126,0,0,0
52,239,0,0,0
53,17,15,9,10
54,17,8,8,7
54,103,2,3,2
55,103,2,1,1
56,126,1,1,1
57,17,10,6,7
58,17,12,7,8
59,126,2,1,1
60,2,1,1,1
60,3,2,1,2
60,4,0,0,0
60,7,2,1,1
60,8,2,1,1
60,10,1,1,1
60,18,0,0,0
60,19,2,1,1
60,20,0,0,0
60,21,1,1,1
60,22,1,1,1
60,23,94,58,63
60,25,3,2,2
60,28,1,0,0
60,29,2,1,2
60,30,0,0,0
60,33,1,1,1
60,39,1,1,1
60,40,0,0,0
60,41,1,1,1
60,42,0,0,0
60,45,5,3,3
60,47,0,0,0
60,48,16,10,11
60,49,2,1,1
60,51,2,1,2
60,55,2,1,2
60,56,1,1,1
60,61,0,0,0
60,64,2,1,1
60,65,1,0,0
60,67,1,0,0
60,87,2,1,1
60,88,0,0,0
60,89,2,1,1
60,91,0,0,0
60,92,2,1,1
60,94,1,1,1
60,99,8,5,6
60,100,1,1,1
60,105,3,2,2
60,106,1,1,1
60,109,6,4,4
60,111,1,0,1
60,112,1,1,1
60,114,2,1,1
60,116,1,1,1
60,121,1,0,0
60,122,0,0,0
60,124,9,5,6
60,125,71,56,71
60,126,9,5,6
60,128,2,1,2
60,153,1,1,1
60,154,3,2,2
60,156,0,0,0
60,163,1,0,1
60,164,2,1,1
60,165,0,0,0
60,166,1,1,1
60,167,1,0,0
60,168,0,0,0
60,169,1,1,1
60,170,2,1,1
60,172,2,1,1
60,174,3,2,2
60,175,1,1,1
60,176,2,1,1
60,180,2,1,1
60,192,1,1,1
60,201,1,1,1
60,210,0,0,0
60,211,2,1,2
60,213,0,0,0
60,214,3,2,2
60,215,1,0,1
60,216,2,1,1
60,226,3,2,2
60,229,0,0,0
60,235,4,2,2
60,236,3,2,2
60,237,3,2,2
60,240,1,1,1
60,243,1,0,1
60,250,0,0,0
60,263,0,0,0
60,265,0,0,0
60,266,1,0,0
60,267,0,0,0
60,268,1,1,1
60,270,0,0,0
60,272,1,1,1
60,276,0,0,0
60,278,0,0,0
60,279,1,1,1
60,280,1,1,1
60,281,0,0,0
60,282,2,1,1
60,289,1,1,1
60,296,1,1,1
61,0,1,1,1
61,2,0,0,0
61,3,2,1,1
61,4,0,0,0
61,5,1,0,0
61,7,2,1,1
61,8,1,1,1
61,9,1,0,0
61,10,2,1,1
61,11,1,0,0
61,12,1,0,0
61,13,1,1,1
61,14,1,1,1
61,15,6,4,4
61,19,1,1,1
61,20,2,1,1
61,21,2,1,1
61,22,0,0,0
61,23,158,97,107
61,24,2,1,2
61,26,1,1,1
61,27,1,0,0
61,29,0,0,0
61,30,0,0,0
61,31,1,1,1
61,32,2,1,1
61,33,1,1,1
61,34,1,0,0
61,35,1,1,1
61,36,1,1,1
61,37,1,0,0
61,38,0,0,0
61,39,0,0,0
61,42,3,2,2
61,43,0,0,0
61,44,0,0,0
61,45,3,2,2
61,46,1,0,0
61,47,45,28,30
61,48,49,30,33
61,49,1,1,1
61,50,0,0,0
61,51,2,1,1
61,52,1,0,0
61,53,0,0,0
61,54,10,6,7
61,57,0,0,0
61,58,1,0,0
61,59,1,1,1
61,60,0,0,0
61,61,3,2,2
61,62,2,2,2
61,63,1,1,1
61,64,2,1,1
61,65,2,1,1
61,66,1,1,1
61,67,2,1,1
61,68,1,1,1
61,69,0,0,0
61,70,1,1,1
61,71,1,1,1
61,73,1,1,1
61,75,0,0,0
61,76,1,1,1
61,78,1,1,1
61,79,0,0,0
61,80,3,2,2
61,81,0,0,0
61,82,1,1,1
61,83,1,1,1
61,85,1,1,1
61,87,4,2,3
61,88,5,3,3
61,89,2,1,1
61,91,0,0,0
61,92,1,1,1
61,94,2,1,1
61,95,2,1,1
61,98,0,0,0
61,99,12,7,8
61,100,2,1,1
61,101,1,1,1
61,105,1,1,1
61,107,2,1,1
61,108,1,1,1
61,109,15,9,10
61,110,1,0,0
61,113,1,1,1
61,114,0,0,0
61,115,1,1,1
61,119,0,0,0
61,120,1,1,1
61,121,1,1,1
61,123,4,2,3
61,124,123,76,83
61,126,0,0,0
61,127,0,0,0
61,128,0,0,0
61,129,3,2,2
61,130,6,3,4
61,131,3,2,2
61,132,3,2,2
61,133,5,3,3
61,134,1,1,1
61,135,3,2,2
61,136,3,2,2
61,137,1,0,0
61,138,1,1,1
61,139,1,1,1
61,140,0,0,0
61,141,3,2,2
61,142,0,0,0
61,144,0,0,0
61,145,1,1,1
61,146,1,1,1
61,148,0,0,0
61,149,3,2,2
61,150,2,2,2
61,152,2,1,1
61,153,0,0,0
61,154,5,3,3
61,155,3,2,2
61,156,3,2,2
61,157,1,1,1
61,158,1,1,1
61,166,1,1,1
61,167,0,0,0
61,168,0,0,0
61,173,0,0,0
61,175,2,1,1
61,178,2,1,1
61,179,0,0,0
61,180,4,2,3
61,181,2,1,2
61,183,1,1,1
61,184,1,1,1
61,185,0,0,0
61,187,1,0,0
61,188,0,0,0
61,190,1,0,0
61,192,0,0,0
61,194,1,0,1
61,195,0,0,0
61,196,1,1,1
61,197,2,1,1
61,198,1,1,1
61,199,4,2,3
61,200,3,2,2
61,201,3,2,2
61,202,2,1,1
61,208,1,1,1
61,210,0,0,0
61,211,0,0,0
61,212,0,0,0
61,213,0,0,0
61,214,0,0,0
61,215,1,1,1
61,216,1,1,1
61,217,0,0,0
61,218,3,2,2
61,219,1,0,0
61,220,3,2,2
61,221,1,1,1
61,222,1,0,0
61,223,0,0,0
61,224,2,2,2
61,226,0,0,0
61,230,0,0,0
61,231,1,1,1
61,232,1,1,1
61,233,1,1,1
61,234,1,0,0
61,238,1,1,1
61,239,0,0,0
61,241,0,0,0
61,242,1,1,1
61,244,0,0,0
61,245,0,0,0
61,246,1,0,0
61,247,1,1,1
61,248,1,1,1
61,249,1,1,1
61,251,1,0,0
61,252,0,0,0
61,253,0,0,0
61,254,1,1,1
61,255,1,1,1
61,256,1,1,1
61,257,1,1,1
61,258,1,1,1
61,259,1,1,1
61,260,1,0,0
61,261,1,0,0
61,262,1,1,1
61,263,1,1,1
61,264,0,0,0
61,265,0,0,0
61,266,2,1,1
61,267,1,0,0
61,268,1,1,1
61,269,0,0,0
61,271,1,1,1
61,272,1,1,1
61,273,1,1,1
61,274,1,1,1
61,275,0,0,0
61,276,1,0,0
61,277,1,1,1
61,278,0,0,0
61,279,2,1,1
61,280,2,1,1
61,281,3,2,2
61,282,2,1,2
61,284,0,0,0
61,285,1,1,1
61,286,1,0,0
61,287,0,0,0
61,288,1,1,1
61,289,1,1,1
61,291,2,1,1
61,292,1,0,0
61,293,0,0,0
61,295,0,0,0
61,296,1,1,1
62,1,1,0,1
62,2,2,1,1
62,6,1,1,1
62,8,3,2,2
62,12,1,1,1
62,13,1,0,0
62,14,1,1,1
62,19,1,0,0
62,20,1,1,1
62,21,1,1,1
62,22,1,1,1
62,23,82,50,55
62,29,1,0,1
62,37,1,1,1
62,40,1,1,1
62,47,15,9,10
62,48,6,6,6
62,50,1,0,0
62,52,1,1,1
62,61,0,0,0
62,63,2,2,2
62,64,3,2,2
62,70,1,1,1
62,72,1,0,0
62,74,3,2,2
62,77,1,0,0
62,80,4,2,2
62,84,2,1,1
62,86,0,0,0
62,87,0,0,0
62,88,2,2,2
62,89,4,2,3
62,90,2,1,1
62,91,1,1,1
62,92,1,1,1
62,93,1,0,0
62,94,1,1,1
62,96,0,0,0
62,99,11,7,8
62,100,1,1,1
62,102,3,2,2
62,104,1,1,1
62,107,3,2,2
62,112,1,1,1
62,113,0,0,0
62,114,0,0,0
62,117,0,0,0
62,118,0,0,0
62,119,1,1,1
62,120,1,0,0
62,121,0,0,0
62,126,9,6,6
62,128,3,2,2
62,135,2,1,1
62,136,2,1,1
62,141,2,1,1
62,143,2,1,1
62,146,1,1,1
62,147,1,1,1
62,148,2,1,1
62,151,1,1,1
62,153,1,0,0
62,154,3,2,2
62,155,1,0,0
62,156,3,2,2
62,159,3,2,2
62,160,1,0,1
62,161,2,1,1
62,162,0,0,0
62,163,1,0,1
62,164,2,1,2
62,165,2,1,1
62,166,1,1,1
62,169,2,1,1
62,170,2,1,1
62,171,1,1,1
62,172,1,1,1
62,175,1,1,1
62,176,2,1,1
62,177,0,0,0
62,178,2,1,1
62,190,1,0,0
62,191,1,0,0
62,192,2,1,1
62,198,0,0,0
62,199,3,2,2
62,202,1,0,0
62,203,1,0,0
62,204,2,1,1
62,205,0,0,0
62,206,0,0,0
62,209,1,0,0
62,210,3,2,2
62,213,1,1,1
62,214,4,2,2
62,216,2,1,1
62,217,0,0,0
62,218,3,2,2
62,224,1,1,1
62,225,0,0,0
62,226,5,3,4
62,233,0,0,0
62,238,2,1,1
62,239,1,1,1
62,246,1,0,0
62,248,2,1,1
62,254,1,0,0
62,262,0,0,0
62,268,0,0,0
62,271,0,0,0
62,276,1,0,0
62,278,1,0,0
62,279,1,0,0
62,281,1,1,1
62,282,1,1,1
62,283,1,1,1
62,284,0,0,0
62,287,0,0,0
62,288,1,1,1
62,289,1,1,1
62,291,0,0,0
62,294,0,0,0
62,296,1,0,1
63,2,1,1,1
63,19,1,0,0
63,23,44,48,49
63,27,0,0,0
63,30,1,1,1
63,47,12,7,8
63,48,12,7,8
63,49,2,1,1
63,53,1,1,1
63,54,7,4,5
63,56,0,0,0
63,63,2,1,1
63,73,0,0,0
63,83,2,1,1
63,87,1,0,0
63,88,0,0,0
63,92,1,1,1
63,97,0,0,0
63,99,6,4,4
63,100,0,0,0
63,107,0,0,0
63,111,0,0,0
63,113,0,0,0
63,119,0,0,0
63,124,114,70,76
63,126,6,6,6
63,128,1,1,1
63,135,0,0,0
63,136,3,2,2
63,138,1,1,1
63,154,0,0,0
63,160,0,0,0
63,168,0,0,0
63,169,1,1,1
63,178,2,1,1
63,186,16,15,14
63,188,0,0,0
63,189,3,2,2
63,200,1,1,1
63,207,2,1,1
63,213,1,1,1
63,214,2,1,1
63,218,1,1,1
63,227,2,1,1
63,228,1,1,1
63,234,0,0,0
63,237,2,2,2
63,239,1,1,1
63,240,2,1,1
63,268,0,0,0
63,278,0,0,0
63,279,0,0,0
63,284,0,0,0
63,290,1,1,1
64,4,1,1,1
64,16,3,3,3
64,17,67,41,45
64,20,1,0,0
