Store,Product,2024-05-06,2024-05-13,2024-05-20
0,126,1.42,1.39,1.37
0,182,0.98,0.79,0.79
10,126,0.99,0.93,1.0
11,126,0.72,0.71,0.72
12,124,7.63,7.23,7.16
13,103,0.89,1.06,1.13
14,124,18.56,17.17,17.34
14,126,1.43,1.26,1.25
15,126,0.93,0.91,0.99
16,126,1.98,2.22,1.98
17,126,1.73,1.92,1.92
18,124,15.44,14.47,14.36
18,126,1.4,1.24,1.07
19,103,4.09,3.47,3.26
19,17,13.58,14.31,14.64
1,124,10.2,9.02,8.95
20,126,1.47,1.56,1.48
21,124,11.2,10.69,10.68
21,126,1.73,1.77,1.58
22,126,2.37,2.33,2.4
23,124,8.8,8.24,8.17
24,126,1.16,1.2,1.14
25,124,9.5,8.72,8.77
25,126,2.35,2.83,2.91
26,126,3.03,2.9,2.99
27,124,9.56,8.78,8.71
27,126,1.39,1.36,1.56
28,103,1.45,1.36,1.37
28,17,15.61,16.74,16.96
29,17,7.93,8.06,8.16
2,124,10.45,9.15,8.96
2,126,1.81,1.82,1.75
30,126,1.2,0.94,0.94
31,126,1.04,1.17,1.1
32,124,8.48,8.21,8.11
32,126,1.23,1.22,1.18
33,126,1.22,1.43,1.27
34,103,1.08,1.06,1.53
34,17,7.34,6.97,7.06
35,17,8.48,8.75,8.87
36,124,10.29,9.33,9.08
36,126,0.74,0.75,0.76
37,103,3.65,3.67,3.88
38,126,0.86,0.73,0.73
39,17,6.77,6.77,6.86
3,126,1.6,1.57,1.69
40,103,1.41,1.58,1.59
40,17,8.3,8.04,8.13
41,103,2.33,2.01,2.06
41,17,8.43,9.01,9.31
42,103,1.17,0.93,0.92
42,17,3.61,3.3,3.33
43,17,4.8,4.86,4.92
44,103,1.77,1.84,1.89
44,17,10.67,11.5,11.43
45,103,1.49,1.5,1.65
45,17,9.81,11.07,11.56
46,126,1.67,1.8,1.97
47,124,6.16,5.89,5.96
48,126,2.79,1.61,1.81
49,103,1.65,1.81,1.62
49,17,9.56,9.57,9.74
4,124,10.07,9.46,9.56
4,126,0.91,0.91,0.91
50,126,3.5,3.46,3.55
51,124,6.7,5.87,6.2
52,126,1.69,1.78,1.82
52,239,0.57,0.47,0.49
53,17,8.96,9.17,9.11
54,103,1.59,1.45,1.63
54,17,9.42,9.31,9.63
55,103,2.09,1.94,1.91
56,126,1.13,0.89,0.92
57,17,6.51,6.32,6.56
58,17,6.45,6.44,6.6
59,126,1.1,1.23,1.15
