Store,Product,2024-05-06,2024-05-13,2024-05-20
0,126,0,0,0
0,182,1,1,1
1,124,10,9,8
2,124,9,10,9
2,126,0,0,0
3,126,1,1,1
4,124,10,10,10
4,126,0,0,0
5,126,3,5,2
6,124,5,5,6
7,126,3,3,3
8,126,0,0,0
9,49,0,0,1
9,124,18,17,16
9,126,3,3,3
10,126,0,0,0
11,126,1,1,2
12,124,7,6,6
13,103,1,1,1
14,124,21,22,22
14,126,3,3,4
15,126,0,0,0
16,126,3,2,3
17,126,0,0,0
18,124,20,20,21
18,126,1,1,1
19,17,16,15,18
19,103,1,0,0
20,126,0,0,0
21,124,10,9,9
21,126,3,3,3
22,126,3,1,2
23,124,10,8,9
24,126,0,0,0
25,124,10,8,9
25,126,0,0,0
26,126,2,2,2
27,124,9,10,10
27,126,1,3,3
28,17,12,11,10
28,103,0,0,0
29,17,2,4,7
30,126,2,2,2
31,126,0,0,0
32,124,8,8,8
32,126,0,0,0
33,126,0,0,0
34,17,6,3,5
34,103,0,0,0
35,17,9,9,9
36,124,9,8,10
36,126,1,1,0
37,103,3,3,3
38,126,1,1,1
39,17,6,6,6
40,17,5,6,9
40,103,0,0,0
41,17,8,7,9
41,103,3,3,4
42,17,5,4,4
42,103,1,1,2
43,17,4,4,4
44,17,12,10,11
44,103,3,2,4
45,17,10,9,9
45,103,0,0,0
46,126,0,0,0
47,124,5,4,5
48,126,0,0,0
49,17,11,12,9
49,103,0,0,0
50,126,4,5,5
51,124,9,10,10
52,126,0,0,0
52,239,1,1,0
53,17,8,10,8
54,17,9,10,10
54,103,2,2,2
55,103,0,0,0
56,126,0,1,1
57,17,6,5,5
58,17,4,4,4
59,126,1,1,1
60,2,1,1,1
60,3,1,1,1
60,4,1,1,1
60,7,1,1,1
60,8,0,0,1
60,10,0,0,0
60,18,1,1,1
60,19,1,1,1
60,20,1,1,1
60,21,2,2,2
60,22,1,1,1
60,23,87,91,94
60,25,0,2,1
60,28,0,0,0
60,29,2,2,2
60,30,0,0,0
60,33,1,1,1
60,39,1,1,1
60,40,0,0,0
60,41,0,0,0
60,42,2,2,2
60,45,3,3,2
60,47,12,10,12
60,48,10,9,11
60,49,0,1,0
60,51,1,1,1
60,55,4,2,2
60,56,0,0,0
60,61,0,0,0
60,64,0,1,2
60,65,1,1,1
60,67,1,1,1
60,87,2,2,3
60,88,2,2,2
60,89,1,1,1
60,91,1,1,1
60,92,1,2,1
60,94,1,1,1
60,99,4,5,5
60,100,1,0,0
60,105,2,1,1
60,106,0,0,0
60,109,5,4,5
60,111,1,1,1
60,112,1,1,1
60,114,1,1,2
60,116,0,0,0
60,121,1,0,0
60,122,1,1,1
60,124,5,4,4
60,125,77,73,75
60,126,4,4,4
60,128,1,1,1
60,153,1,1,1
60,154,2,2,2
60,156,1,1,1
60,163,1,1,1
60,164,2,2,1
60,165,0,0,0
60,166,1,1,1
60,167,1,1,1
60,168,0,0,0
60,169,1,1,1
60,170,2,2,1
60,172,1,1,1
60,174,0,1,3
60,175,1,1,1
60,176,2,2,2
60,180,1,1,1
60,192,1,1,0
60,201,1,1,0
60,210,1,1,1
60,211,1,1,1
60,213,1,1,1
60,214,4,3,3
60,215,1,1,1
60,216,2,1,1
60,226,3,3,2
60,229,1,1,1
60,235,0,0,0
60,236,0,0,0
60,237,0,0,0
60,240,1,0,0
60,243,1,1,1
60,250,0,0,1
60,263,0,0,1
60,265,0,0,0
60,266,0,0,0
60,267,1,0,0
60,268,1,1,1
60,270,1,1,1
60,272,1,1,1
60,276,1,1,1
60,278,0,0,0
60,279,2,2,2
60,280,1,1,1
60,281,1,1,0
60,282,1,2,2
60,289,1,1,1
60,296,0,1,0
61,0,0,1,1
61,2,0,0,0
61,3,1,1,1
61,4,1,1,2
61,5,1,1,1
61,7,0,1,0
61,8,1,1,1
61,9,0,0,0
61,10,1,1,1
61,11,0,0,0
61,12,1,1,1
61,13,1,1,1
61,14,0,0,0
61,15,5,5,4
61,19,0,0,1
61,20,1,1,1
61,21,1,0,0
61,22,1,1,1
61,23,104,105,106
61,24,2,1,1
61,26,2,2,1
61,27,0,0,0
61,29,0,0,0
61,30,0,0,0
61,31,1,1,1
61,32,0,0,0
61,33,1,1,1
61,34,0,0,0
61,35,1,1,1
61,36,1,1,1
61,37,0,0,0
61,38,2,2,1
61,39,3,2,2
61,42,1,1,1
61,43,0,0,0
61,44,0,0,0
61,45,2,2,1
61,46,0,0,0
61,47,36,27,35
61,48,31,24,31
61,49,1,2,2
61,50,0,0,0
61,51,0,0,0
61,52,0,0,0
61,53,1,1,1
61,54,8,3,8
61,57,1,1,1
61,58,0,0,0
61,59,0,0,0
61,60,0,0,0
61,61,2,1,2
61,62,4,4,4
61,63,1,1,1
61,64,1,1,1
61,65,0,0,0
61,66,1,1,1
61,67,2,2,2
61,68,1,1,1
61,69,0,0,0
61,70,1,1,1
61,71,1,1,1
61,73,1,1,1
61,75,0,0,0
61,76,1,2,1
61,78,0,1,1
61,79,1,1,1
61,80,2,2,2
61,81,0,0,0
61,82,1,1,1
61,83,1,1,1
61,85,0,0,0
61,87,1,1,1
61,88,2,3,3
61,89,2,2,2
61,91,1,1,1
61,92,1,1,1
61,94,1,1,1
61,95,0,0,0
61,98,0,0,0
61,99,7,7,7
61,100,1,1,1
61,101,0,0,0
61,105,1,2,1
61,107,2,2,1
61,108,0,0,0
61,109,10,12,13
61,110,0,1,1
61,113,1,1,1
61,114,3,4,4
61,115,1,1,1
61,119,0,0,0
61,120,1,1,1
61,121,1,1,1
61,123,2,1,1
61,124,95,75,79
61,126,0,0,0
61,127,0,1,1
61,128,1,2,2
61,129,3,2,2
61,130,2,2,2
61,131,3,3,3
61,132,1,1,1
61,133,4,4,4
61,134,0,1,1
61,135,3,2,2
61,136,4,4,3
61,137,0,0,0
61,138,1,1,1
61,139,1,1,0
61,140,0,0,0
61,141,1,1,1
61,142,1,1,1
61,144,0,0,0
61,145,1,1,1
61,146,1,2,1
61,148,0,0,0
61,149,2,2,2
61,150,2,2,2
61,152,1,1,1
61,153,0,0,0
61,154,3,2,2
61,155,1,1,1
61,156,1,1,1
61,157,1,1,1
61,158,2,2,2
61,166,1,1,1
61,167,2,2,2
61,168,1,1,1
61,173,1,1,1
61,175,1,1,1
61,178,1,0,0
61,179,1,1,1
61,180,1,1,1
61,181,1,1,1
61,183,1,1,1
61,184,1,1,1
61,185,0,0,0
61,187,2,2,1
61,188,0,0,0
61,190,1,1,1
61,192,0,0,0
61,194,1,2,2
61,195,1,0,1
61,196,1,1,1
61,197,1,1,1
61,198,1,1,1
61,199,0,0,0
61,200,2,2,2
61,201,2,2,2
61,202,1,1,1
61,208,0,0,0
61,210,2,3,3
61,211,1,1,2
61,212,1,1,1
61,213,0,0,0
61,214,5,5,5
61,215,1,1,1
61,216,1,1,1
61,217,0,0,0
61,218,2,2,2
61,219,0,0,1
61,220,0,0,0
61,221,1,1,1
61,222,0,0,1
61,223,0,0,0
61,224,2,1,1
61,226,8,6,6
61,230,0,0,0
61,231,1,1,1
61,232,1,1,1
61,233,0,0,0
61,234,1,1,1
61,238,2,2,2
61,239,0,1,0
61,241,1,1,1
61,242,1,1,0
61,244,0,0,0
61,245,1,1,1
61,246,1,1,1
61,247,1,1,1
61,248,0,0,0
61,249,1,1,1
61,251,0,0,0
61,252,0,0,0
61,253,0,0,0
61,254,0,0,0
61,255,1,1,1
61,256,1,1,1
61,257,1,1,1
61,258,0,0,0
61,259,1,1,1
61,260,0,0,0
61,261,1,1,1
61,262,0,0,0
61,263,0,0,0
61,264,1,0,0
61,265,0,0,0
61,266,1,1,1
61,267,1,1,1
61,268,0,0,0
61,269,0,0,0
61,271,2,2,2
61,272,1,1,1
61,273,1,1,1
61,274,0,0,0
61,275,0,0,0
61,276,0,1,1
61,277,1,2,1
61,278,1,1,1
61,279,0,0,0
61,280,2,2,2
61,281,2,3,3
61,282,2,1,2
61,284,0,0,0
61,285,1,1,1
61,286,0,0,0
61,287,1,1,1
61,288,1,1,1
61,289,1,1,1
61,291,1,1,1
61,292,1,1,1
61,293,1,1,1
61,295,0,0,0
61,296,1,1,1
62,1,1,1,1
62,2,2,1,2
62,6,0,1,1
62,8,1,3,2
62,12,1,1,1
62,13,2,2,2
62,14,0,0,0
62,19,0,0,0
62,20,0,0,0
62,21,1,1,1
62,22,0,0,0
62,23,56,56,57
62,29,1,1,1
62,37,1,1,1
62,40,2,2,2
62,47,9,10,9
62,48,8,9,9
62,50,0,0,0
62,52,1,1,1
62,61,1,1,1
62,63,1,0,1
62,64,2,2,2
62,70,1,1,1
62,72,1,1,1
62,74,1,0,1
62,77,2,2,1
62,80,3,3,2
62,84,1,1,1
62,86,1,0,1
62,87,2,3,3
62,88,3,4,3
62,89,3,3,3
62,90,2,2,2
62,91,1,1,1
62,92,1,1,1
62,93,1,1,1
62,94,1,1,1
62,96,0,0,0
62,99,12,11,10
62,100,1,1,2
62,102,1,2,2
62,104,2,2,2
62,107,1,1,1
62,112,1,1,1
62,113,0,0,0
62,114,1,1,1
62,117,1,1,1
62,118,0,0,1
62,119,2,1,1
62,120,0,0,0
62,121,1,1,1
62,126,4,4,4
62,128,1,2,2
62,135,0,0,0
62,136,1,1,1
62,141,1,1,1
62,143,1,1,2
62,146,1,1,1
62,147,1,2,2
62,148,2,2,3
62,151,0,0,0
62,153,1,1,1
62,154,3,2,2
62,155,1,0,0
62,156,2,2,2
62,159,2,2,3
62,160,1,1,1
62,161,1,1,1
62,162,0,0,0
62,163,1,1,1
62,164,2,2,2
62,165,2,1,1
62,166,0,0,0
62,169,1,1,1
62,170,2,3,2
62,171,1,1,1
62,172,1,1,1
62,175,1,1,1
62,176,1,1,1
62,177,0,0,0
62,178,0,0,0
62,190,1,1,1
62,191,0,0,0
62,192,1,1,1
62,198,0,0,0
62,199,1,1,1
62,202,0,0,0
62,203,0,0,0
62,204,1,2,1
62,205,0,0,0
62,206,1,1,0
62,209,1,1,1
62,210,2,2,2
62,213,1,2,1
62,214,4,2,2
62,216,2,2,2
62,217,0,0,0
62,218,5,3,4
62,224,1,0,1
62,225,0,0,1
62,226,10,9,6
62,233,1,0,1
62,238,1,1,1
62,239,1,1,0
62,246,1,1,1
62,248,1,0,0
62,254,1,1,1
62,262,1,1,1
62,268,1,1,1
62,271,1,0,0
62,276,1,1,1
62,278,1,1,1
62,279,1,1,1
62,281,2,3,3
62,282,0,0,0
62,283,1,1,1
62,284,0,0,0
62,287,0,0,0
62,288,1,1,1
62,289,0,0,0
62,291,0,0,0
62,294,0,0,1
62,296,1,0,0
63,2,1,1,1
63,19,0,1,1
63,23,43,48,38
63,27,1,1,1
63,30,1,1,1
63,47,9,7,7
63,48,9,6,7
63,49,2,2,2
63,53,0,0,0
63,54,10,10,11
63,56,0,0,0
63,63,1,1,1
63,73,1,1,0
63,83,2,2,2
63,87,1,1,1
63,88,1,1,1
63,92,1,1,1
63,97,0,0,0
63,99,2,2,2
63,100,1,1,1
63,107,3,3,3
63,111,1,1,1
63,113,1,1,0
63,119,0,0,0
63,124,73,73,72
63,126,8,7,8
63,128,2,2,1
63,135,1,1,1
63,136,2,1,1
63,138,0,0,1
63,154,1,1,1
63,160,0,0,0
63,168,0,0,0
63,169,2,2,2
63,178,1,1,1
63,186,18,18,18
63,188,0,1,0
63,189,1,1,1
63,200,1,1,1
63,207,1,1,1
63,213,1,1,1
63,214,1,1,1
63,218,1,1,1
63,227,2,2,1
63,228,0,0,0
63,234,0,0,0
63,237,1,1,2
63,239,1,1,1
63,240,1,1,1
63,268,0,1,1
63,278,0,0,0
63,279,0,0,0
63,284,1,1,1
63,290,0,0,0
64,4,0,0,0
64,16,4,5,4
64,17,25,22,20
64,20,1,1,1
