Store,Product,5/6/2024,5/13/2024,5/20/2024
0,126,2.57 ,2.08 ,1.79 
0,182,0.85 ,0.87 ,0.87 
1,124,8.21 ,7.00 ,6.84 
2,124,11.02 ,10.15 ,9.73 
2,126,1.98 ,2.33 ,2.05 
3,126,2.10 ,2.26 ,3.80 
4,124,10.19 ,9.28 ,9.27 
4,126,1.78 ,2.69 ,1.95 
5,126,2.90 ,2.50 ,2.40 
6,124,4.73 ,5.12 ,5.59 
7,126,2.25 ,1.93 ,2.51 
8,126,2.38 ,2.22 ,2.45 
9,49,0.75 ,0.82 ,0.82 
9,124,15.90 ,16.05 ,15.19 
9,126,3.28 ,3.12 ,2.77 
10,126,1.04 ,1.12 ,1.17 
11,126,1.90 ,2.07 ,2.12 
12,124,4.22 ,4.13 ,4.03 
13,103,1.86 ,1.98 ,2.43 
14,124,14.42 ,12.14 ,11.65 
14,126,4.48 ,3.91 ,5.01 
15,126,0.90 ,1.30 ,1.09 
16,126,1.76 ,1.93 ,2.05 
17,126,2.71 ,1.77 ,2.17 
18,124,16.40 ,15.55 ,16.02 
18,126,3.24 ,2.97 ,3.41 
19,17,11.01 ,15.23 ,18.42 
19,103,5.54 ,4.39 ,4.81 
20,126,2.73 ,2.27 ,2.41 
21,124,10.73 ,9.79 ,8.97 
21,126,3.21 ,2.98 ,3.34 
22,126,1.59 ,3.30 ,2.07 
23,124,8.70 ,8.38 ,8.59 
24,126,1.85 ,1.69 ,1.93 
25,124,5.95 ,5.91 ,5.93 
25,126,1.48 ,1.61 ,3.20 
26,126,2.48 ,2.45 ,2.68 
27,124,7.75 ,7.02 ,6.78 
27,126,2.42 ,3.18 ,2.16 
28,17,11.29 ,16.06 ,18.47 
28,103,2.44 ,3.62 ,3.84 
29,17,4.80 ,5.13 ,5.25 
30,126,3.86 ,1.91 ,1.66 
31,126,1.14 ,1.22 ,1.27 
32,124,8.54 ,8.37 ,8.26 
32,126,1.53 ,1.69 ,1.87 
33,126,1.86 ,1.98 ,2.05 
34,17,4.59 ,5.63 ,5.06 
34,103,1.85 ,1.87 ,2.11 
35,17,8.65 ,9.03 ,9.91 
36,124,9.55 ,9.28 ,9.41 
36,126,1.98 ,1.93 ,2.05 
37,103,3.28 ,3.54 ,3.14 
38,126,2.15 ,3.19 ,2.43 
39,17,5.55 ,5.90 ,5.92 
40,17,10.00 ,10.01 ,11.27 
40,103,2.39 ,2.58 ,3.47 
41,17,9.27 ,9.03 ,9.53 
41,103,2.78 ,3.20 ,3.30 
42,17,3.56 ,3.51 ,3.65 
42,103,1.76 ,1.63 ,1.59 
43,17,4.21 ,4.22 ,4.05 
44,17,10.85 ,11.62 ,12.08 
44,103,3.34 ,3.10 ,3.71 
45,17,10.41 ,9.44 ,9.15 
45,103,2.53 ,2.65 ,2.20 
46,126,2.53 ,1.92 ,2.34 
47,124,4.78 ,5.36 ,5.32 
48,126,2.39 ,2.13 ,3.42 
49,17,8.54 ,9.50 ,8.32 
49,103,1.35 ,1.43 ,1.49 
50,126,4.91 ,3.82 ,3.75 
51,124,10.38 ,8.79 ,9.99 
52,126,2.02 ,2.12 ,2.11 
52,239,0.74 ,0.81 ,0.82 
53,17,8.98 ,9.05 ,8.59 
54,17,9.68 ,9.13 ,8.60 
54,103,1.95 ,1.75 ,1.79 
55,103,2.06 ,2.18 ,2.37 
56,126,1.45 ,1.24 ,1.21 
57,17,7.21 ,7.61 ,7.52 
58,17,7.57 ,7.78 ,7.67 
59,126,2.30 ,2.74 ,2.73 
