Store,Product,2024-04-15,2024-04-22,2024-04-29
0,126,1.422263,1.8734148,2.0800061
0,182,0.9931386,1.2048503,1.0971851
1,124,7.1615615,7.688483,6.634184
10,126,0.5921858,1.0178225,0.8397135
11,126,1.4683414,1.1272949,1.3584048
12,124,7.3569827,6.802273,6.433214
13,103,0.21452667,0.93596137,0.8231315
14,124,14.883067,15.054149,12.352097
14,126,1.177881,1.9345034,2.4034615
15,126,0.67472106,0.85834897,0.99211556
16,126,1.0754707,1.9692848,1.9002353
17,126,2.079956,1.782526,2.2386336
18,124,11.016865,11.589683,11.219674
18,126,1.1646048,1.5185437,2.085377
19,103,2.2658784,3.1938853,3.6769195
19,17,15.2865925,17.884567,18.238842
2,124,7.1254616,10.663382,8.624113
2,126,1.1903856,2.124061,2.1833377
20,126,1.9707696,2.1785276,2.5086472
21,124,13.436493,13.12528,11.786013
21,126,1.4644867,1.8086796,1.8305774
22,126,1.4062299,2.1847084,2.1999347
23,124,8.775615,11.033691,10.498193
24,126,1.2846498,1.3278909,1.6787791
25,124,8.391791,7.0145316,6.686171
25,126,1.2226938,1.4307617,2.2552779
26,126,1.280728,2.2078638,2.3271852
27,124,6.733905,7.5369687,5.9790993
27,126,0.651939,0.86154413,1.1140221
28,103,1.5817566,2.047564,2.007241
28,17,16.386524,17.982662,16.430206
29,17,8.548569,7.0476975,7.416427
3,126,0.6859242,1.4136432,1.139793
30,126,0.9987505,1.151933,1.0945957
31,126,1.0204904,1.0933088,1.0816668
32,124,6.886243,7.7432,7.1465473
32,126,1.0659432,1.6495445,1.962423
33,126,0.8719145,1.4578692,1.7444197
34,103,0.764553,1.4697025,1.9380519
34,17,7.1796575,7.012727,7.0258465
35,17,9.347708,9.365622,9.237241
36,124,8.43717,10.688418,9.602917
36,126,1.5832076,1.4069369,1.8640846
37,103,3.4140325,2.6063423,3.0830636
38,126,0.9053049,1.0655543,1.2633597
39,17,7.464228,7.621035,7.1979613
4,124,9.261232,10.860109,9.819888
4,126,0.5450616,1.0507592,1.1249366
40,103,0.4961116,0.85436815,1.3334605
40,17,6.202092,7.7668343,7.3888264
41,103,1.2354418,2.003812,2.2280633
41,17,10.56127,10.245973,10.551167
42,103,0.7247786,1.0596406,1.1914732
42,17,3.7192578,3.8996344,3.4546142
43,17,4.1291265,4.044974,3.9000561
44,103,1.4965496,2.0816064,2.1500344
44,17,10.637617,12.001281,10.998676
45,103,1.4511493,2.1945133,2.3716953
45,17,12.898369,13.165089,14.124785
46,126,1.4673643,2.1454875,1.8893478
47,124,5.254133,5.2891073,5.247961
48,126,1.9858925,2.131487,2.002085
49,103,0.6314877,1.1481634,1.4975721
49,17,8.1816435,9.010323,8.180227
5,126,1.6892545,2.4118776,2.3155954
50,126,2.2453563,2.3486395,2.4607582
51,124,5.030777,7.991579,6.8239007
52,126,1.2356349,1.9253817,1.6987698
52,239,0.6318525,1.002037,0.93921113
53,17,7.909089,9.575234,8.8033
54,103,2.0600224,1.5737073,1.751512
54,17,8.996999,9.450209,9.793173
55,103,0.94375676,1.9139293,2.3052826
56,126,1.0825504,0.9366156,1.2165349
57,17,6.7600284,6.265959,6.354997
58,17,7.0173764,7.30697,6.9073915
59,126,1.1922815,1.7225723,2.0744407
6,124,6.6925974,6.127744,6.192741
60,10,0.5812796,0.635524,0.5915252
60,100,0.7262186,1.0527139,0.96053463
60,105,0.7735737,0.78838533,0.79905516
60,106,0.5520431,0.6791147,0.6883721
60,109,3.0150108,7.920008,6.7610655
60,111,0.55121976,0.68469054,0.7664762
60,112,0.6978526,0.8158091,0.8573973
60,114,1.2526567,2.696404,1.9807514
60,116,0.59335446,0.69915056,0.78844726
60,121,0.54658353,0.90663093,0.8812328
60,122,0.46761015,0.63980883,0.6605304
60,124,5.6030927,7.2467823,6.5457344
60,125,72.56926,94.99735,91.67207
60,126,6.2663894,9.097126,7.865702
60,128,0.81062484,1.0992315,0.96610916
60,153,0.6472778,0.8588275,0.95957047
60,154,1.5942769,2.2824793,2.2597528
60,156,1.016083,1.3508996,1.3889061
60,163,0.55917686,0.63725114,0.7026003
60,164,1.4566073,2.0080895,1.7314569
60,165,0.49057928,0.7867008,0.8104553
60,166,0.783966,1.2270716,1.3238264
60,167,0.63375604,0.9429794,1.024175
60,168,0.7871405,1.0453056,1.0487589
60,169,0.8989074,1.2427956,1.1324463
60,170,1.2218579,1.5459043,1.6888648
60,172,0.635306,1.0985025,0.9945438
60,174,1.844353,1.751811,2.0583172
60,175,0.9464053,1.1410937,1.3087167
60,176,1.3281626,1.8213826,1.9789207
60,18,0.7879028,0.7409425,0.7749537
60,180,0.7052008,1.1188898,1.1336032
60,19,0.8947689,1.1264911,1.1267563
60,192,0.59317684,0.7169083,0.780625
60,2,0.51505494,0.8788909,0.72209543
60,20,0.80277795,0.86762375,0.8292029
60,201,0.8502856,0.8341607,0.9112172
60,21,0.7215626,0.8774348,0.81480837
60,210,1.1676118,1.5103076,1.5445777
60,211,1.5277946,1.9690918,1.652805
60,213,0.65816456,0.58893603,0.7175168
60,214,1.8936143,2.1547525,2.4689035
60,215,0.5814603,0.7454033,0.7786495
60,216,0.8343327,1.1605588,1.2240305
60,22,0.7527953,0.8623775,0.79417527
60,226,2.25879,3.0146663,2.594152
60,229,0.97830415,1.5397935,1.4751968
60,23,60.02878,82.03441,76.23978
60,235,1.266136,1.8556194,2.0331485
60,236,1.5429538,2.1380248,2.3663795
60,237,1.7756433,2.512721,2.6846726
60,240,0.5393746,0.71090543,0.9746762
60,243,0.6120848,0.4140326,0.44168192
60,25,0.85641456,0.93591255,0.84620816
60,250,0.82544535,0.9513071,1.0052307
60,263,0.4556304,0.36508682,0.3713181
60,265,0.5802644,0.52811986,0.6032714
60,266,0.5443798,0.6375863,0.43137437
60,267,0.6142018,0.5743985,0.6909619
60,268,0.69578034,0.801568,0.8586684
60,270,0.59777325,0.70155543,0.7519513
60,272,0.51357406,0.54801226,0.6023179
60,276,0.50384915,0.5693353,0.5798923
60,278,1.4261429,1.4314873,1.1915869
60,279,1.2509915,1.0589733,0.81197804
60,28,0.46763772,0.40064025,0.36117616
60,280,0.5395625,0.62973315,0.51135135
60,281,1.2835934,1.427099,1.3262229
60,282,1.3795657,1.1559762,1.0133246
60,289,0.70095253,0.6942279,0.67382455
60,29,1.4821677,1.2779726,1.4988866
60,296,0.5278207,0.49915358,0.4332175
60,3,1.1226028,1.3498366,1.4206265
60,30,0.46407238,1.2320087,1.4462473
60,33,0.908904,0.66391605,0.9976326
60,39,0.5637894,0.54633826,0.59058577
60,4,1.140364,1.2024148,1.2952029
60,40,0.6383563,1.1366545,0.9910199
60,41,0.44953415,0.6013469,0.6853128
60,42,0.7066626,1.2490398,1.1403251
60,45,1.2100316,2.3993857,2.3268023
60,47,8.693334,16.977774,14.175353
60,48,8.643324,17.116331,14.175353
60,49,0.6351074,1.0801592,0.97661465
60,51,0.82686454,0.9984098,1.3012623
60,55,1.4200833,1.4080282,1.3135642
60,56,0.60543805,0.5899227,0.5922717
60,61,0.779796,0.7868825,0.79425323
60,64,0.88719916,1.9246652,1.7447906
60,65,0.4761351,0.8422319,0.7261883
60,67,0.6669369,0.46434024,0.5636073
60,7,0.70898145,0.81938773,0.76764673
60,8,1.0918623,1.1290898,1.21435
60,87,1.176603,1.5398939,1.6872942
60,88,1.6137917,2.1907804,2.0754218
60,89,0.7393175,0.9867398,0.9934405
60,91,0.6984357,1.2004169,0.94941133
60,92,0.8621741,1.4069904,1.1099476
60,94,0.77547604,1.2255162,1.0047276
60,99,3.9187577,4.9713907,4.9500074
61,0,0.5166624,0.8860556,0.77814865
61,10,0.6932463,0.70077175,0.6737695
61,100,1.0841157,1.6009107,1.6061776
61,101,0.5972352,0.5923376,0.7652764
61,105,0.69469243,0.71697223,0.784006
61,107,0.94474185,1.4966373,1.5910957
61,108,0.6120467,0.66174984,0.62723565
61,109,7.9812465,16.617289,14.747661
61,11,0.63942975,0.9411693,0.8840268
61,110,0.41163483,0.41168833,0.46046814
61,113,0.59021664,0.98238814,0.9285859
61,114,1.8375688,3.377436,2.7934198
61,115,0.5363244,0.7634926,0.6062916
61,119,0.8135776,0.76486254,0.86332864
61,12,0.7619108,0.6304648,0.7281611
61,120,0.6424198,0.7661932,0.9205688
61,121,0.6310665,1.1484753,1.0738809
61,123,1.7740246,1.4335582,1.2702613
61,124,65.98967,99.510155,107.46702
61,126,6.227454,9.926412,10.922973
61,127,1.1637244,1.3921707,1.0483445
61,128,1.4129747,2.0917695,1.8299668
61,129,1.4821448,1.6725818,1.560762
61,13,0.5619652,0.5213286,0.52584684
61,130,2.3524883,2.5992267,2.2035267
