Store,Product,2024-04-15,2024-04-22,2024-04-29,2024-05-06,2024-05-13,2024-05-20,2024-05-27,2024-06-03
61,10,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719
61,105,0.752,1.206,1.209,1.778,0.616,2.146,2.349,0.847
62,107,1.54,1.356,2.077,3.846,1.009,1.108,2.11,1.109
63,111,1.222,0.977,1.823,2.201,0.792,1.104,2.742,0.911
62,112,0.207,1.578,1.386,1.266,1.109,0.436,1.318,1.543
62,113,0.782,0.782,0.782,0.782,0.782,0.782,0.782,0.782
62,119,0.561,0.731,0.561,0.69,0.714,0.609,1.351,0.863
62,12,0.562,0.641,0.711,0.76,0.78,0.77,0.738,0.694
62,120,0.043,1.155,1.533,0.758,0.638,0.382,0.892,0.46
61,121,0.483,0.973,1.563,1.025,0.525,0.317,0.805,0.341
61,123,1.03,1.699,1.135,1.58,1.654,0.701,2.368,1.394
61,127,0.208,1.453,0.881,0.69,0.457,1.303,1.33,0.655
61,129,1.475,0.473,2.262,0.134,2.941,1.596,0.71,0.768
62,13,0.283,0.333,0.166,0.327,0.324,0.329,0.893,0.205
61,130,2.632,1.958,3.736,1.73,0.718,1.575,0.9,0.191
61,131,0.853,0.763,3.022,0.729,0.043,1.317,1.559,3.03
61,132,2.591,3.115,1.595,1.601,0.718,0.221,1.26,1.173
61,133,2.261,2.685,6.393,2.608,2.529,5.196,3.616,4.658
63,138,0.391,0.694,0.493,0.821,0.602,0.023,0.636,0.261
62,14,0.081,2.789,0.61,0.362,0.171,0.251,1.047,0.18
61,142,0.011,0.846,0.022,0.034,0.033,0.034,0.218,0.218
62,143,0.829,0.732,0.709,0.979,0.639,1.925,0.622,3.741
61,144,1.869,4.298,0.865,1.016,0.815,1.621,2.763,0.719
62,146,0.45,0.925,2.494,2.635,0.637,1.107,1.013,0.932
62,148,1.198,0.755,0.873,3.28,0.297,0.356,0.872,0.389
61,149,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
61,153,0.646,0.564,1.078,2.162,0.405,1.029,1.408,0.401
62,155,0.237,1.029,0.415,0.245,0.205,0.233,0.409,0.626
61,156,0.788,1.913,2.57,1.547,1.202,2.101,1.132,1.062
61,157,0.227,5.627,2.307,3.714,1.129,0.161,1.018,0.166
61,158,0.874,3.654,2.204,0.989,0.346,0.058,0.901,0.526
62,159,1.431,2.543,3.626,1.683,1.884,2.024,2.018,1.594
63,160,2.172,1.367,0.605,1.263,0.779,0.38,0.538,0.755
62,161,2.912,0.958,0.819,1.356,0.657,1.903,1.974,1.471
62,162,0.661,0.756,0.876,0.876,0.664,1.027,0.763,0.665
62,163,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497
62,164,1.615,1.615,1.615,1.615,1.615,1.615,1.615,1.615
62,165,0.697,1.51,1.998,1.366,0.343,1.002,0.875,1.424
61,166,0.231,1.477,1.005,2.067,1.644,0.305,0.63,0.454
61,167,0.937,0.954,0.933,0.879,0.809,0.743,0.698,0.688
60,168,0.695,0.776,2.037,1.433,1.1,1.234,0.644,0.751
62,169,2.021,0.896,1.81,1.65,0.892,0.938,0.463,1.287
62,170,2.899,3.985,3.654,4.181,2.515,2.145,2.377,1.211
62,172,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124
60,174,1.62,0.885,1.487,2.06,1.812,1.705,2.412,2.205
61,175,2.275,2.338,2.031,0.659,2.234,1.45,0.793,1.043
62,176,0.962,1.922,2.479,1.998,0.984,1.454,1.177,1.2
62,177,3.979,2.547,4.11,0.882,1.404,0.12,1.27,0.467
61,179,0.203,0.638,0.927,0.32,1.685,0.088,0.937,0.11
61,180,0.472,1.754,2.044,3.787,0.709,1.613,4.196,1.663
63,188,0.044,1.769,0.625,0.207,0.57,0.457,0.788,0.037
63,189,2.466,1.108,0.899,2.892,2.741,0.162,0.161,0.149
61,19,0.343,0.586,0.673,0.72,0.477,0.462,0.666,0.375
62,190,0.61,0.247,0.471,0.802,0.619,0.599,0.907,0.779
61,192,0.258,0.155,0.26,1.016,0.367,0.363,0.262,0.257
62,198,0.042,1.122,0.173,1.61,0.487,0.024,1.699,0.047
62,199,0.765,3.025,1.648,3.405,0.63,2.429,1.98,1.607
64,20,0.565,0.711,0.637,0.958,0.583,0.683,0.76,0.718
63,200,0.829,0.829,0.829,0.829,0.829,0.829,0.829,0.829
61,201,1.941,1.807,2.5,4.322,1.555,2.195,4.559,1.641
62,202,1.931,0.651,1.309,0.977,0.326,1.607,2.987,1.373
64,21,0.696,0.866,0.774,1.733,0.548,0.764,0.651,1.001
61,211,2.02,2.812,2.808,1.792,3.706,1.985,2.464,1.483
61,213,0.493,1.674,2.029,1.094,1.236,1.398,1.096,1.328
61,215,0.498,0.012,1.464,0.447,1.101,0.009,0.525,0.013
61,216,2.652,2.904,1.777,3.077,2.239,1.836,1.85,1.833
62,217,0.462,1.205,0.939,1.496,0.03,0.7,0.126,0.008
60,22,0.266,0.541,0.571,0.132,0.744,0.267,0.771,0.703
62,224,0.567,0.316,1.504,0.229,0.141,0.758,1.738,0.597
62,233,0,0,0,0.56,0.844,0.4,2.764,0
63,234,0.506,0.951,2.142,0.321,0.068,0.059,0.057,0.637
60,235,1.526,4.028,5.396,5.748,0.762,1.843,1.585,2.954
60,236,3.974,4.388,0.561,2.827,1.704,1.779,2.738,0.653
60,237,0.889,2.946,0.87,0.743,0.648,0.58,1.313,1.338
62,238,0.465,1.671,1.705,1.11,0.605,0.649,0.954,0.735
61,239,1.592,1.926,3.122,1.226,0.433,0.399,1.062,0.814
61,24,1.484,1.484,1.484,1.484,1.484,1.484,1.484,1.484
63,240,0.133,1.342,1.546,3.989,1.266,0.469,0.69,0.114
62,246,0.345,0.117,0.369,0.404,0.069,0.246,0.534,0.713
62,248,1.406,1.697,1.458,0.681,2.423,1.611,1.51,0.446
60,25,1.785,1.106,3.377,2.775,7.089,2.061,3.819,2.477
60,250,1.054,1.057,1.103,1.122,4.245,3.607,1.384,2.278
62,254,1.097,0.07,1.357,0.758,0.74,0.066,1.336,0.834
61,255,2.651,1.41,0.755,0.033,1.898,2.057,0.31,1.544
61,257,0.444,2.369,0.958,0.368,0.512,1.009,0.741,0.369
62,262,0.845,0.5,0.128,0.512,0.485,0.204,0.433,0.155
61,263,0.127,0.106,0.399,0.506,0.368,0.407,0.027,0.748
61,264,1.834,0.158,0.887,0.111,0.589,0.271,0.685,2.076
61,265,0.701,0.581,1.718,1.089,1.958,0.527,3.358,2.383
61,266,0.728,0.123,0.374,0.919,0.395,0.296,1.356,1.02
61,267,0.45,0.367,1.415,0.586,1.252,0.585,1.221,0.425
61,268,1.135,1.325,0.921,1.091,0.589,0.759,1.23,0.516
62,271,0.348,0.767,0.989,0.904,0.033,0.688,0.565,0.393
61,272,0.152,0.871,0.703,0.939,0.84,0.753,0.786,0.75
61,277,1.177,0.622,0.554,0.644,0.896,1.271,1.699,2.091
61,280,0.459,1.191,0.418,0.616,1.357,1.35,1.792,0.6
61,286,0.866,0.868,0.87,0.872,0.873,0.875,0.877,0.879
62,287,1.19,0.096,0.896,0.844,1.472,0.42,1.263,0.156
62,288,0.594,0.486,0.427,0.768,0.217,0.902,0.571,0.595
61,289,0.517,0.655,0.904,1.22,1.54,1.8,1.945,1.945
62,291,0.762,0.21,0.45,0.47,0.426,1.188,0.232,0.12
61,3,0.648,1.776,1.767,2.274,1.493,1.475,2.253,1.256
61,33,1.989,0.326,1.611,1.598,0.318,1.362,1.139,1.663
62,37,0.834,0.635,0.985,3.243,0.726,0.504,0.746,1.68
61,38,1.776,1.832,1.869,1.881,1.866,1.822,1.752,1.659
61,39,0.954,2.123,2.502,2.615,2.103,2.591,2.543,1.996
61,4,0.759,1.824,1.135,1.265,1.877,2.326,1.564,0.958
60,40,0.279,0.098,1.3,1.777,0.377,0.342,0.425,0.596
60,42,0.944,2.244,1.511,1.142,0.758,0.963,0.824,0.582
61,45,1.052,4.338,2.316,1.695,1.933,0.904,1.401,0.551
60,49,0.544,1.07,1.434,0.976,0.475,0.712,1.066,0.661
62,50,0.574,0.528,0.742,0.577,0.448,0.984,0.494,0.739
61,51,1.49,0.767,0.614,0.995,0.464,0.312,0.532,1.25
62,52,1.374,0.626,0.586,0.841,0.88,0.048,0.508,0.962
63,53,0.62,0.474,0.349,1.147,0.65,0.209,0.401,0.475
63,56,1.261,1.395,2.435,1.347,1.455,1.763,2.287,1.452
61,57,2.51,2.192,2.466,1.113,3.917,0.631,2.472,1.042
61,61,1.611,1.611,1.611,1.611,1.611,1.611,1.611,1.611
61,62,6.494,6.328,9.301,9.916,5.573,4.148,4.882,2.829
61,65,0.987,2.001,5.92,4.484,1.936,2.923,1.484,3.722
61,67,1.788,0.588,1.128,0.555,2.077,1.525,2.386,2.643
61,69,1.014,0.975,0.909,0.852,0.84,0.894,1.023,1.208
61,7,0.272,1.123,1.74,1.778,0.751,1.607,1.285,0.712
62,70,0.617,1.067,0.86,0.936,0.518,0.31,0.936,0.466
61,71,0.047,2.254,3.722,4.387,1.244,0.065,1.25,1.272
63,73,0.494,1.504,0.557,0.652,0.247,0.564,1.012,0.368
61,76,0.695,0.212,2.497,3.97,1.159,1.22,0.053,0.357
63,83,0.359,0.651,1.494,0.35,0.516,1.051,0.304,1.069
62,91,0.639,2.219,1.492,2.602,0.769,1.029,1.024,1.483
61,0,0.392,2.531,1.173,0.526,0.862,0.865,1.289,0.572
62,1,0.114,0,0,0.302,0.756,0.001,0.931,0.34
61,101,1.317,0.222,0.001,0.178,1.169,0.748,0.001,0.658
62,102,2.003,0.917,1.643,2.14,1.674,1.343,1.248,1.367
62,104,0.001,1.089,1.66,0.365,0.001,0.575,0.002,0.003
60,106,0.971,2.828,1.054,0.4,2.316,2.317,1.283,1.829
61,108,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
61,11,0.896,2.028,2.782,0.584,0.002,0.508,0.499,0.916
61,110,0.006,0.003,0.36,0.553,0.228,0.001,0.261,0.839
61,115,1.395,0.97,1.849,2.73,0.931,0.922,0.912,1.398
60,116,0.968,0.07,1.654,2.071,4.828,3.597,1.931,1.782
62,117,0.975,1.757,0.346,1.714,2.523,2.772,1.455,1.199
62,118,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743
60,122,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614
