Store,Product,2024-04-15,2024-04-22,2024-04-29,2024-05-06,2024-05-13,2024-05-20,2024-05-27,2024-06-03
0,126,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,182,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
1,124,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
2,124,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
2,126,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75
3,126,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
4,124,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25
4,126,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
5,126,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25
6,124,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
7,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,126,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
9,49,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
9,124,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75
9,126,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75
10,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,126,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
12,124,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25
13,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,124,14.75,14.75,14.75,14.75,14.75,14.75,14.75,14.75
14,126,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,126,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
16,126,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
17,126,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
18,124,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25
18,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,17,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
19,103,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75
20,126,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25
21,124,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
21,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,126,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75
23,124,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75
24,126,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
25,124,10.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25
25,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,126,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25
27,124,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
27,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,17,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5
28,103,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
29,17,6.333333333333333,6.333333333333333,6.333333333333333,6.333333333333333,6.333333333333333,6.333333333333333,6.333333333333333,6.333333333333333
30,126,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,126,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
32,124,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
32,126,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
33,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,17,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
34,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,17,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
36,124,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
36,126,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
37,103,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
38,126,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
39,17,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
40,17,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
40,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,17,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5
41,103,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
42,17,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
42,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,17,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
44,17,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25
44,103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,17,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
45,103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,126,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
47,124,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
48,126,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
49,17,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75
49,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,126,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
51,124,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
52,126,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,239,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,17,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25
54,17,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25
54,103,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
55,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,126,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
57,17,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
58,17,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75
59,126,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75
60,2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
60,3,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
60,4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
60,7,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
60,8,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
60,10,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
60,18,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
60,19,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
60,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
