Store,Product,2024-04-15,2024-04-22,2024-04-29,2024-05-06,2024-05-13,2024-05-20,2024-05-27,2024-06-03
0,126,3,3,4,5,3,0,3,3
0,182,0,0,0,0,2,0,2,2
1,124,0,12,14,14,10,10,11,11
2,124,11,14,17,18,12,12,13,13
2,126,0,5,6,6,4,0,4,4
3,126,0,0,0,7,0,4,0,5
4,124,13,15,17,18,14,13,14,14
4,126,0,3,0,4,2,2,0,0
5,126,0,9,11,12,7,0,0,8
6,124,10,11,14,13,0,10,11,11
7,126,4,5,7,8,4,4,5,5
8,126,6,0,11,11,0,6,7,7
9,49,0,0,0,0,0,0,0,0
9,124,22,24,27,28,22,21,23,23
9,126,5,6,7,0,5,5,0,5
10,126,2,0,4,4,2,0,0,0
11,126,3,3,0,5,0,3,3,3
12,124,10,12,14,14,11,11,12,12
13,103,0,5,0,6,3,0,0,5
14,124,20,23,27,28,21,21,22,22
14,126,4,5,7,8,4,4,5,5
15,126,0,0,0,0,0,2,0,2
16,126,0,6,8,8,5,0,6,0
17,126,0,5,0,7,4,4,5,5
18,124,16,19,22,23,16,16,17,17
18,126,3,4,5,6,3,3,0,0
19,17,22,25,29,29,22,22,23,24
19,103,13,0,0,23,0,0,0,0
20,126,4,5,0,7,4,4,5,5
21,124,16,18,21,21,15,15,17,17
21,126,4,5,7,7,4,4,0,4
22,126,0,0,0,0,0,0,0,0
23,124,12,15,18,18,13,13,14,14
24,126,0,4,5,5,0,0,3,3
25,124,12,14,17,18,13,13,14,14
25,126,5,0,11,12,6,6,7,7
26,126,0,8,0,10,6,6,7,7
27,124,0,0,0,0,0,0,0,0
27,126,3,4,5,5,3,3,3,3
28,17,22,25,27,28,22,22,24,23
28,103,0,6,7,0,0,0,0,0
29,17,9,11,14,14,9,9,10,10
30,126,0,3,0,4,0,0,0,0
31,126,0,4,5,0,0,0,0,3
32,124,11,13,16,16,11,10,12,12
32,126,0,4,5,5,0,0,4,3
33,126,0,5,7,7,4,0,0,0
34,17,8,10,12,12,9,8,9,9
34,103,3,4,0,0,0,3,0,4
35,17,13,14,17,17,13,13,14,14
36,124,11,12,14,14,11,11,12,12
36,126,0,4,5,5,3,0,4,4
37,103,7,9,0,12,7,0,0,8
38,126,0,0,0,5,3,0,0,3
39,17,10,11,13,13,10,10,11,11
40,17,9,12,14,15,10,10,11,11
40,103,3,4,5,5,3,3,3,3
41,17,14,17,19,19,15,15,15,16
41,103,4,0,7,7,0,0,5,5
42,17,6,7,8,8,5,5,6,6
42,103,0,0,0,0,0,0,0,0
43,17,6,0,9,9,6,6,6,6
44,17,14,17,18,20,15,14,16,15
44,103,4,5,6,7,0,0,0,0
45,17,15,18,21,21,16,16,17,17
45,103,0,0,7,8,0,5,6,0
46,126,0,5,7,7,4,4,0,0
47,124,7,8,10,10,7,7,7,8
48,126,0,7,9,9,0,5,6,6
49,17,0,0,0,0,0,0,0,0
49,103,4,0,0,0,0,0,0,0
50,126,0,0,10,11,0,6,7,0
51,124,8,9,11,12,7,7,8,8
52,126,0,5,6,0,4,0,0,0
52,239,0,0,0,0,0,0,0,0
53,17,12,15,17,18,12,12,14,14
54,17,11,13,15,15,11,11,12,12
54,103,0,4,0,0,0,0,0,0
55,103,0,0,0,0,0,0,0,0
56,126,0,0,0,0,0,0,0,0
57,17,0,0,0,0,0,0,0,0
58,17,0,0,0,0,0,0,0,0
59,126,0,0,0,0,0,0,0,0
60,2,0,0,2,2,1,1,0,0
60,3,0,3,4,0,3,3,3,3
60,4,2,0,0,3,2,2,2,0
60,7,0,2,3,3,0,0,0,0
60,8,2,0,0,3,2,2,2,2
60,10,0,0,2,2,1,0,0,1
60,18,1,0,3,0,2,0,0,2
60,19,2,2,3,0,2,0,2,2
60,20,2,2,3,3,0,2,2,0
60,21,1,2,2,2,1,1,2,2
60,22,0,0,2,2,1,0,0,2
60,23,81,104,126,123,88,84,98,93
60,25,0,0,7,6,3,0,4,0
60,28,1,0,0,0,0,1,0,1
60,29,4,5,0,6,4,4,0,4
60,30,0,3,3,4,2,2,2,0
60,33,2,0,3,3,0,2,2,2
60,39,0,0,0,0,0,0,0,0
60,40,0,0,3,3,0,2,0,2
60,41,1,2,2,2,0,0,0,0
60,42,2,2,3,0,1,1,2,0
60,45,4,5,6,6,4,0,4,0
60,47,14,17,20,20,13,14,15,15
60,48,14,16,19,20,14,13,15,15
60,49,0,2,2,0,0,0,1,0
60,51,3,4,0,0,0,0,0,0
60,55,4,5,0,6,4,3,4,4
60,56,0,0,3,0,0,0,2,0
60,61,1,2,0,2,1,0,2,2
60,64,0,2,3,0,2,2,0,2
60,65,0,2,2,2,0,0,1,1
60,67,1,0,2,0,1,1,1,1
60,87,0,3,4,4,2,2,3,0
60,88,4,4,5,6,4,3,4,4
60,89,2,2,0,3,2,0,0,0
60,91,1,2,3,3,0,0,0,2
60,92,2,2,3,3,2,2,2,2
60,94,2,2,3,3,0,2,2,0
60,99,7,8,10,11,7,7,8,8
60,100,1,2,2,2,0,0,2,0
60,105,0,0,0,4,0,2,3,0
60,106,0,2,0,0,0,0,0,1
60,109,5,7,8,8,5,5,6,6
60,111,1,0,0,2,0,0,1,2
60,112,0,2,0,0,0,0,2,2
60,114,0,3,4,0,3,0,0,0
60,116,0,0,0,3,1,0,2,0
60,121,1,0,2,2,0,0,1,0
60,122,1,1,2,2,1,0,1,0
60,124,8,10,12,12,8,8,9,9
60,125,85,98,111,113,84,84,90,90
60,126,17,22,29,30,17,17,20,20
60,128,2,0,0,0,2,0,2,0
60,153,1,0,2,0,0,1,2,0
60,154,3,3,4,4,3,0,3,0
60,156,0,0,0,0,0,0,0,0
60,163,0,0,2,2,1,1,1,0
60,164,2,0,3,3,0,2,2,2
60,165,0,1,2,2,0,0,1,1
60,166,1,0,2,2,1,1,0,1
60,167,0,2,2,0,0,0,1,1
60,168,1,0,2,2,1,1,1,1
60,169,2,0,3,3,2,2,0,2
60,170,0,3,4,4,3,3,3,0
60,172,2,2,3,3,2,2,2,0
60,174,3,4,6,6,4,4,4,4
60,175,2,2,3,3,2,2,0,2
60,176,0,3,4,4,2,2,3,3
60,180,0,0,0,3,0,0,0,0
60,192,0,0,0,0,0,0,0,0
60,201,0,0,2,0,0,0,0,0
60,210,0,0,3,0,0,2,0,0
60,211,0,0,3,0,0,2,3,0
60,213,0,0,2,0,0,0,0,0
60,214,0,0,0,0,3,3,3,3
60,215,0,0,2,0,0,0,1,0
60,216,0,3,0,4,0,2,3,0
60,226,0,0,0,0,0,0,0,0
60,229,0,0,0,0,0,0,0,0
60,235,0,0,0,0,0,0,0,0
60,236,0,0,0,0,0,0,0,0
60,237,0,0,0,0,0,0,0,0
60,240,0,0,0,0,0,0,0,0
60,243,1,2,2,0,0,1,2,0
60,250,0,0,0,0,2,2,0,0
60,263,0,0,0,0,0,0,0,1
60,265,0,0,2,2,1,0,2,1
60,266,0,0,0,2,0,0,1,0
60,267,0,0,0,2,1,1,0,0
60,268,0,2,3,0,2,2,2,2
60,270,0,2,0,0,1,1,1,0
60,272,0,0,0,3,2,0,0,2
60,276,0,2,0,3,0,0,2,0
60,278,2,3,0,4,0,0,3,3
60,279,0,3,4,4,0,3,3,3
60,280,0,2,0,0,2,0,2,2
60,281,2,0,0,4,2,2,3,2
60,282,2,3,0,4,0,0,3,3
60,289,0,0,3,0,2,2,2,0
60,296,0,0,0,0,0,0,0,2
61,0,0,2,2,0,1,0,1,2
61,2,0,3,5,5,2,0,3,3
61,3,0,3,4,4,0,2,3,3
61,4,0,3,4,4,3,3,3,3
61,5,1,0,2,2,0,1,1,1
61,7,0,0,4,4,0,2,3,0
61,8,0,4,5,5,4,3,4,4
61,9,0,0,2,2,1,1,0,0
61,10,1,2,0,0,1,1,2,0
61,11,1,2,2,3,0,0,0,0
61,12,0,0,2,2,0,0,2,2
61,13,0,0,0,0,0,0,2,0
61,14,0,2,0,3,0,0,2,0
61,15,5,6,8,8,5,5,6,6
61,19,0,0,3,3,2,0,2,0
61,20,2,0,0,0,0,0,2,2
61,21,0,2,2,2,0,0,2,2
61,22,0,2,2,0,1,1,2,1
61,23,134,166,194,191,139,138,158,147
61,24,2,3,4,0,0,0,0,0
61,26,0,0,0,0,0,0,0,0
61,27,4,5,8,8,4,4,5,5
61,29,3,4,6,6,3,3,3,3
61,30,0,4,6,6,3,3,4,4
61,31,0,0,0,3,2,0,0,0
61,32,0,0,3,3,0,0,2,2
61,33,2,3,4,0,0,2,2,2
61,34,2,2,0,3,2,2,2,0
61,35,0,2,2,2,1,0,1,0
61,36,0,2,0,2,1,1,2,2
61,37,0,0,0,2,0,0,0,1
61,38,2,3,3,3,0,2,2,2
61,39,3,4,5,5,3,3,3,3
61,42,3,4,5,5,3,3,4,4
61,43,1,0,2,0,0,0,0,1
61,44,0,2,3,3,2,2,2,2
61,45,3,4,5,5,3,3,0,0
61,46,1,0,0,2,0,0,0,0
61,47,35,41,48,49,34,34,37,37
61,48,39,45,52,53,39,38,42,41
61,49,2,2,3,3,0,0,2,0
61,50,2,2,0,3,0,2,0,2
61,51,2,0,0,3,0,2,0,2
61,52,0,0,2,0,0,0,0,1
61,53,2,2,0,3,0,0,2,0
61,54,9,11,13,14,9,9,10,10
61,57,2,2,3,3,2,2,2,2
61,58,0,0,0,0,0,0,0,0
61,59,0,2,0,2,1,1,1,1
61,60,0,0,0,0,1,1,1,1
61,61,3,3,4,4,3,3,3,3
61,62,7,8,9,10,7,7,7,7
61,63,3,3,5,0,2,2,3,3
61,64,3,4,5,5,0,3,4,4
61,65,3,4,5,6,3,3,3,3
61,66,0,2,2,0,1,1,0,0
61,67,2,3,4,4,2,2,3,3
61,68,1,0,0,0,0,1,1,1
61,69,2,2,3,3,2,0,2,2
61,70,2,0,3,0,0,0,0,0
61,71,0,2,3,4,0,0,2,0
61,73,1,2,0,2,0,0,2,0
61,75,1,0,2,0,0,1,1,0
61,76,2,0,3,3,2,2,0,0
61,78,0,0,3,3,0,2,0,0
61,79,1,1,2,2,0,1,1,1
61,80,3,4,5,5,3,3,4,4
61,81,0,2,3,3,0,1,0,0
61,82,0,2,2,0,1,1,0,2
61,83,2,3,4,0,2,2,0,0
61,85,2,0,2,3,0,2,2,2
61,87,3,4,6,6,3,3,4,4
61,88,5,6,7,8,5,5,5,5
61,89,2,3,4,4,2,2,3,3
61,91,0,2,3,3,2,2,2,2
61,92,2,2,3,3,2,2,2,2
61,94,2,2,3,3,0,2,0,0
61,95,0,0,4,4,0,2,3,2
61,98,1,1,2,0,1,0,0,0
61,99,10,11,13,14,9,9,10,10
61,100,2,2,3,3,2,2,2,2
61,101,0,0,0,0,1,0,0,0
61,105,0,2,2,0,0,0,2,0
61,107,0,3,0,4,2,0,2,0
61,108,0,2,0,0,0,0,2,0
61,109,13,16,19,20,13,13,15,14
61,110,0,0,0,0,0,0,0,1
61,113,0,0,0,3,0,0,0,0
61,114,0,0,6,6,0,0,0,0
61,115,1,2,2,3,0,0,0,0
61,119,2,2,3,3,0,2,2,2
61,120,0,0,2,0,0,0,0,0
61,121,1,2,2,3,0,0,2,0
61,123,0,5,6,0,4,0,4,4
61,124,111,125,149,151,101,104,115,113
61,126,17,22,29,30,17,18,20,20
61,127,0,4,0,0,0,3,0,0
61,128,3,3,4,4,3,0,0,3
61,129,3,0,4,0,0,3,3,3
61,130,5,6,7,7,5,5,0,0
61,131,0,4,5,5,0,3,4,4
61,132,3,3,4,5,0,0,3,3
61,133,5,6,8,8,5,5,6,6
61,134,0,0,2,2,0,0,2,0
61,135,4,5,6,7,4,0,4,4
61,136,0,7,9,9,5,5,6,6
61,137,0,0,0,0,1,0,1,0
61,138,2,2,3,3,0,0,0,0
61,139,0,0,0,0,0,2,0,3
61,140,1,0,0,2,0,0,1,0
61,141,5,0,7,8,0,4,5,0
61,142,0,2,0,0,0,0,0,0
61,144,0,3,4,4,2,0,2,0
61,145,0,3,3,0,2,2,0,2
61,146,0,2,3,3,2,2,2,2
61,148,0,5,0,8,0,0,0,0
61,149,4,4,5,6,3,3,0,0
61,150,4,5,6,7,4,4,5,5
61,152,2,3,3,3,2,2,0,0
61,153,2,2,3,3,2,2,2,0
61,154,4,5,5,6,4,4,4,4
61,155,3,4,0,5,0,3,4,3
61,156,3,3,4,0,3,0,0,0
61,157,0,3,4,4,2,0,3,0
61,158,2,2,3,0,0,0,0,0
61,166,2,2,3,0,2,0,2,2
61,167,0,2,2,2,0,0,0,2
61,168,1,2,2,3,2,2,0,2
61,173,0,0,2,2,1,0,1,0
61,175,2,3,4,0,2,2,0,0
61,178,2,3,3,4,2,2,2,0
61,179,0,2,2,2,1,0,1,0
61,180,0,0,0,0,0,0,4,4
61,181,0,0,0,0,0,0,2,2
61,183,0,0,0,0,0,0,0,2
61,184,0,0,0,0,0,0,0,0
61,185,0,2,0,0,0,0,1,0
61,187,0,2,2,2,0,1,0,0
61,188,0,2,0,0,1,0,1,0
61,190,0,0,0,3,1,0,2,2
61,192,0,0,0,2,0,0,0,0
61,194,0,1,0,0,0,0,0,0
61,195,0,0,2,0,0,0,0,0
61,196,0,0,0,0,0,0,1,0
61,197,0,2,3,0,0,2,0,0
61,198,0,2,0,0,0,0,2,0
61,199,0,6,0,7,5,4,5,5
61,200,3,0,0,5,0,0,3,0
61,201,4,4,5,5,0,4,4,4
61,202,2,0,0,0,0,0,2,0
61,208,0,0,0,0,0,1,0,0
61,210,0,0,0,6,0,4,4,4
61,211,0,3,3,3,2,0,3,0
61,212,0,0,0,2,0,0,1,0
61,213,0,0,0,2,0,0,0,2
61,214,6,8,0,9,7,7,7,7
61,215,1,0,2,2,1,0,0,1
61,216,3,4,5,0,3,3,3,4
61,217,0,2,2,2,1,1,0,0
61,218,3,4,5,5,3,0,3,3
61,219,0,0,0,2,0,0,1,0
61,220,0,0,0,0,0,0,0,0
61,221,0,0,0,0,0,0,0,0
61,222,0,0,0,0,0,0,0,0
61,223,0,0,0,0,0,0,0,0
61,224,0,0,0,0,0,0,0,0
61,226,0,0,0,0,0,0,0,0
61,230,0,0,0,0,0,0,0,0
61,231,0,0,0,0,0,0,0,0
61,232,0,0,0,0,0,0,0,0
61,233,0,0,0,3,0,2,2,0
61,234,0,0,0,0,0,0,0,0
61,238,2,0,3,3,2,2,2,2
61,239,0,0,0,0,0,0,0,1
61,241,0,3,0,0,0,0,0,0
61,242,0,0,0,0,0,0,0,0
61,244,1,2,2,2,0,1,0,0
61,245,0,2,0,3,2,2,2,2
61,246,0,0,0,2,0,0,0,0
61,247,1,2,2,2,0,0,2,2
61,248,2,0,3,3,0,0,0,0
61,249,2,2,0,0,0,0,0,0
61,251,0,0,2,0,0,0,0,0
61,252,0,0,0,0,0,1,0,0
61,253,0,0,0,0,1,1,1,0
61,254,1,0,0,0,1,0,2,2
61,255,2,2,3,0,0,2,0,0
61,256,0,0,0,0,0,1,2,0
61,257,0,0,3,3,0,0,2,2
61,258,0,0,3,0,0,0,0,2
61,259,0,2,2,2,0,0,2,2
61,260,0,0,0,2,0,0,1,0
61,261,1,2,2,0,0,1,0,2
61,262,0,3,0,4,2,0,3,0
61,263,0,0,0,3,2,0,0,0
61,264,2,0,4,0,2,0,3,3
61,265,3,3,4,4,2,2,3,3
61,266,3,0,0,5,0,0,3,3
61,267,0,0,2,0,1,0,2,0
61,268,1,2,0,0,1,1,2,0
61,269,1,2,2,2,1,1,2,2
61,271,2,0,0,3,0,2,2,2
61,272,0,2,3,3,2,1,2,0
61,273,2,2,0,3,2,0,2,2
61,274,0,0,2,0,0,0,0,0
61,275,1,0,0,0,0,0,1,1
61,276,2,2,3,0,2,2,2,2
61,277,0,0,4,0,2,2,2,0
61,278,4,5,7,7,4,4,5,5
61,279,4,5,6,6,3,3,4,4
61,280,2,3,4,0,2,2,3,0
61,281,3,4,5,5,3,3,4,4
61,282,3,4,5,0,3,3,3,3
61,284,1,2,3,3,0,2,2,2
61,285,2,0,0,0,0,0,0,3
61,286,0,0,0,3,0,0,0,2
61,287,2,2,0,3,2,0,2,0
