Store,Product,15/04/2024,22/04/2024,29/04/2024,06/05/2024,13/05/2024,20/05/2024,27/05/2024,03/06/2024
0,126,1.462613185,2.018908132,2.086163952,2.335445901,3.021660282,2.066025533,2.173833719,2.836657943
0,182,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
1,124,8.3573781,7.179528976,8.18316066,8.377744695,8.081960634,6.925300542,7.798025449,7.969556264
2,124,10.83697536,8.36720788,11.89655735,7.953627102,9.381381538,8.12314986,8.48979171,9.145580865
2,126,2.539091589,2.773629476,2.866491984,2.813550237,2.767228609,2.826012571,2.481541746,2.605543517
3,126,1.851676164,1.36535166,1.475525403,1.483467664,1.833352566,1.672161527,4.018591306,2.003100985
4,124,8.924111094,8.345625108,9.664670532,8.741648056,10.85488498,8.837466894,9.126262444,9.228542902
4,126,1.119053174,0.851147463,1.313959156,1.483976912,2.275056055,2.110997893,2.020724542,2.027976929
5,126,2.592090445,2.895334466,3.048641516,2.6754562,3.967243257,3.125433014,2.392946237,2.394619462
6,124,7.547778051,7.189746865,7.53522204,7.899206061,7.60465644,6.720997622,7.143609744,7.895000938
7,126,1.862281233,1.453471813,2.482208352,3.435736943,3.104508669,1.909577723,2.408568781,2.550561928
8,126,1.670939989,2.719628882,3.034802919,5.002824457,2.990184169,3.049724106,2.772609389,2.891130136
9,49,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
9,124,17.42777774,15.9424398,20.50954886,18.4331075,18.61621095,16.5130119,16.11979068,16.32622764
9,126,3.190968092,3.026836452,3.378852777,3.717058218,3.94742677,3.738884078,3.571418069,3.056097043
10,126,1.012559729,0.951130115,1.287543503,1.704362563,1.725220738,1.82637704,1.894969158,2.003100985
11,126,0.857373157,1.483212962,1.404286302,1.889461255,2.059085742,1.957893706,2.101785838,2.11550898
12,124,8.001777151,8.123284547,8.355542461,8.420656031,8.630010045,8.335041349,8.185561379,7.527296488
13,103,0.950010972,0.74260096,1.226243455,1.288313034,1.59029763,1.482236976,1.993654011,2.889673206
14,124,13.1455533,15.15268812,14.99688103,14.07903227,14.27134266,12.75271896,13.44875592,12.55228203
14,126,1.911754938,2.14234802,1.999061934,2.190688298,2.532537117,2.17483482,3.063981054,2.812039652
15,126,1.324451676,1.534497548,1.703288424,1.844846421,2.324070892,2.012593943,2.168815865,2.003100985
16,126,2.747322437,2.520366782,2.95877156,3.587141034,3.179146977,3.277011448,2.795782816,4.219996162
17,126,1.132420935,2.092116968,1.934287668,2.111927832,3.9214022,2.042945359,2.825340099,3.107737268
18,124,13.59812772,12.48373376,12.71794278,14.2330478,13.62263579,14.24852486,13.06394522,16.63947523
18,126,1.32169369,1.043687813,1.334375282,1.816110656,2.599025793,2.206167195,2.616375774,2.724507601
19,17,15.92799886,15.50779591,17.09760309,22.08582918,18.09357797,18.21883804,19.10822892,17.24268456
19,103,3.726192104,3.742378754,3.702382733,3.926378258,4.964054211,2.728534557,3.973821269,6.839022423
20,126,2.36353248,1.870264866,2.787162998,2.528393305,3.182000811,2.50775628,2.394706929,2.96081625
21,124,10.32639006,12.21613299,12.94523365,15.43729841,12.48984093,11.8581695,12.00545724,12.57479559
21,126,1.148554265,1.711940527,2.484731223,2.398066797,2.265472026,2.000050384,2.249883369,2.120162989
22,126,2.950952946,2.88012624,2.372218361,2.654693453,2.707411586,3.878205207,2.394009695,2.918648382
23,124,8.445035698,7.802850161,8.811292968,10.30412491,9.449856432,8.858532157,8.672102034,8.802867636
24,126,1.17311879,1.461405346,1.92033115,2.369457634,2.60781986,2.13305556,2.003100985,2.214193833
25,124,8.870494622,9.955990231,9.694653275,8.809199825,9.558590932,9.236094379,9.933216293,9.508077972
25,126,1.991125161,2.188725603,3.727744487,1.970326169,2.025293041,2.075535113,2.758313722,2.218847841
26,126,2.595240282,2.777400691,3.858500834,3.048872848,2.648190177,2.604466853,2.681028246,2.622005859
27,124,6.360716039,6.610553953,7.322787195,7.180008839,7.825143103,6.852733489,6.891155465,6.875233793
27,126,0.769841106,0.850732788,1.09820475,1.452112576,1.487905129,2.203643592,1.653221594,2.17677433
28,17,16.41351043,16.01886045,22.24591073,18.49488928,17.18725714,17.79491306,18.7963299,15.9565739
28,103,2.336509861,1.794924462,2.264368489,2.55341409,2.55377953,3.033639486,2.549046995,2.924770288
29,17,7.526728019,8.028025822,7.192146128,7.403811047,7.194942538,6.345273895,7.344226235,6.739429676
30,126,1.375081134,1.378874763,1.9874791,1.806564031,2.847986937,1.96734068,2.090633036,2.463164595
31,126,1.796970837,1.116759022,1.824395426,1.670352549,2.38350539,2.236631362,1.894969158,2.003100985
32,124,8.362483791,6.87831537,7.632202779,7.504555222,8.421496682,6.767831084,7.387507304,7.721154505
32,126,1.353273518,1.422129796,2.14135026,2.07092644,2.319083735,1.934508867,1.982501209,2.774240825
33,126,1.857043489,1.522652134,1.929173128,1.880459615,1.942092358,1.82637704,1.894969158,2.003100985
34,17,7.525148631,6.685129798,7.757490237,7.307573872,7.126390036,6.507437235,6.406585912,6.651738253
34,103,1.239619729,0.885814374,1.858233723,1.492730988,2.314623917,1.584629476,2.068642503,2.003100985
35,17,9.29877534,8.93352739,9.883215192,9.436699062,9.694153266,9.478618702,10.52318488,10.15020463
36,124,8.061842469,8.013008398,8.526997054,9.457005119,9.18916448,8.414755666,8.796478351,8.730969256
36,126,1.398180324,1.867076449,2.033170443,2.44740757,2.377635787,2.103046618,2.263483214,2.669043169
37,103,2.774279583,3.040439742,3.400272221,3.300827886,3.693190132,3.18131158,3.535967599,3.558721299
38,126,1.36638804,1.727171242,1.832958781,1.753165738,2.343740752,2.655915483,2.081186061,2.276947692
39,17,5.57002845,7.36858071,6.246859845,6.84101836,7.538606971,6.851016132,6.851622946,6.449807185
40,17,6.910311414,6.361279828,6.242493349,6.349308205,6.193683473,6.497779797,8.828769099,7.321564448
40,103,1.582152431,0.771042177,1.211534726,1.564359075,2.087350642,1.92112731,2.964542607,2.38289114
41,17,11.26611142,11.16634963,12.52731636,11.90263349,12.25305065,12.27800098,12.5617815,12.08288498
41,103,1.645280763,1.363938725,1.55570672,1.924242483,2.42688248,2.756592582,2.616375774,2.101785838
42,17,3.763420783,3.395946331,3.536137036,3.459480872,3.477585217,3.277460493,3.187488925,3.18242825
42,103,1.038662166,1.176432568,1.750101896,1.405198938,2.04077721,1.60950542,1.894969158,2.003100985
43,17,4.59966188,4.550178112,4.555639151,4.203075838,3.987793941,3.186608735,3.461070408,3.441770761
44,17,10.64474899,10.46803458,11.8678531,11.74200687,12.88457796,10.63738364,11.39348927,11.9859425
44,103,1.748046059,1.683960526,1.760610809,2.019563958,3.036437235,2.542670008,3.45893282,2.177270567
45,17,11.52939601,11.45602818,13.37064786,12.36523924,15.59061012,12.52553332,12.82001463,15.64953746
45,103,1.69232862,1.398180324,1.838202291,1.866790597,2.886780214,2.249431675,2.21157494,4.007827373
46,126,2.211426678,2.332682412,2.419306362,2.484373859,3.317720818,2.171564368,2.875282822,2.355632618
47,124,4.75859147,4.551944143,5.42352947,4.922624475,4.988062717,4.655373279,4.969809499,4.339052276
48,126,2.498508464,2.60344168,2.029645237,2.102077259,2.819451435,1.976270856,3.063981054,2.812039652
49,17,8.885025457,8.760250165,8.896195733,8.860268696,9.167439977,9.415852299,9.255835276,9.316691445
49,103,1.084182734,1.187128251,1.423619808,1.839030545,1.99950842,1.82637704,2.068642503,2.003100985
50,126,2.99318304,2.675661532,2.710500207,2.741496019,3.352030193,2.093350131,2.281448748,2.99808198
51,124,4.504428027,5.220701314,5.244362756,6.518333791,7.45255111,5.524781925,6.661365156,5.39745169
52,126,2.050532977,1.664522741,2.901182817,2.948515286,3.182393098,2.465725839,2.141186621,2.469494424
52,239,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
53,17,7.208192504,8.645855618,9.332544118,9.203272822,9.603822381,8.168057315,8.179908811,8.830704116
54,17,8.648503129,9.565738522,9.535596965,9.945679636,10.36327477,9.193014621,9.908025348,10.648969
54,103,2.222586973,2.295789115,2.867382235,2.048311595,2.342327177,2.084402684,2.207695039,2.481541746
55,103,2.410029664,0.913281544,1.665367372,1.839030545,2.241255983,1.943439043,1.894969158,2.358015196
56,126,1.29721153,1.42636572,1.615756374,1.570999714,2.422755744,1.672161527,2.168815865,2.003100985
57,17,5.772362573,5.178005557,5.670185189,5.519912703,5.922946825,5.347734511,5.367238996,5.903761885
58,17,7.74006575,6.210192558,7.272029246,7.427814886,6.842787613,6.248337141,6.295595992,6.913508805
59,126,1.848120093,1.828004611,2.270339645,2.295787049,2.658046255,2.788943013,2.491440383,3.050378531
60,2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
60,3,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75
60,4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
60,7,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
60,8,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
60,10,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
60,18,1,1,1,1,1,1,1,1
60,19,1,1,1,1,1,1,1,1
60,20,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
60,21,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
60,22,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
60,23,63.40782117,67.31601746,76.3027203,54.74979358,66.83316433,53.32238508,60.82934216,67.46897367
60,25,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
60,28,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
60,29,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
60,30,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
60,33,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
60,39,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
60,40,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
60,41,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
60,42,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
60,45,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
60,47,8.805219131,8.228729589,11.66347099,16.68878579,10.76284753,10.50514061,11.17166514,11.06713234
60,48,8.757922718,8.048635538,11.45254649,16.53162421,10.44021199,10.50514061,11.17166514,10.76888437
