Store,Product,2024-04-15,2024-04-22,2024-04-29,2024-05-06,2024-05-13,2024-05-20,2024-05-27,2024-06-03
0,126,3,4,3,3,2,1,2,3
0,182,1,1,2,1,2,0,3,2
1,124,3,10,13,8,5,10,10,9
2,124,7,12,11,11,8,9,10,10
2,126,2,4,3,4,4,1,3,4
3,126,1,1,1,1,0,2,0,1
4,124,8,11,10,15,9,6,10,12
4,126,0,1,0,2,2,2,1,1
5,126,1,2,1,3,2,1,0,2
6,124,7,2,3,3,2,3,5,3
7,126,1,1,1,1,1,1,1,1
8,126,3,0,8,3,0,5,4,6
9,49,0,0,1,0,1,0,0,1
9,124,14,17,17,20,10,10,17,15
9,126,2,5,5,4,3,2,2,2
10,126,1,1,1,1,1,1,1,1
11,126,2,4,1,4,2,3,3,3
12,124,4,6,5,6,4,4,2,5
13,103,0,1,1,1,1,1,1,1
14,124,9,8,8,11,8,8,6,6
14,126,1,1,1,2,1,2,2,1
15,126,1,1,1,0,1,1,1,1
16,126,1,2,4,2,4,0,6,1
17,126,0,1,1,3,1,1,1,2
18,124,11,9,14,15,6,15,14,12
18,126,1,1,1,1,1,2,1,1
19,17,10,11,18,19,16,18,17,18
19,103,3,1,2,8,0,0,3,2
20,126,1,2,1,1,1,1,1,2
21,124,13,11,15,12,9,6,13,11
21,126,1,1,1,1,1,1,1,1
22,126,0,0,0,0,8,2,4,12
23,124,7,10,13,11,5,5,8,7
24,126,1,2,4,3,0,1,3,5
25,124,13,5,6,5,8,12,7,7
25,126,1,1,1,1,1,1,1,1
26,126,0,5,1,3,2,3,4,4
27,124,8,3,5,9,6,7,6,5
27,126,1,1,1,1,1,1,1,1
28,17,16,19,16,13,17,15,19,18
28,103,1,1,2,1,2,1,2,1
29,17,6,4,5,6,3,5,4,3
30,126,0,3,1,4,1,1,2,0
31,126,1,1,1,1,1,1,1,1
32,124,6,6,7,10,4,8,7,7
32,126,1,2,1,1,1,1,2,1
33,126,1,1,1,1,1,1,1,1
34,17,6,5,4,3,4,2,4,4
34,103,1,1,0,1,0,1,0,1
35,17,12,6,7,9,9,13,7,9
36,124,8,9,13,18,13,9,15,14
36,126,1,2,3,3,3,2,4,5
37,103,3,2,2,3,2,1,3,3
38,126,1,1,1,1,1,1,1,1
39,17,5,8,9,10,5,8,9,6
40,17,7,5,7,6,5,7,7,6
40,103,1,1,1,1,1,1,1,1
41,17,11,10,15,18,12,11,11,11
41,103,1,0,1,2,2,2,1,2
42,17,5,5,3,4,5,3,4,2
42,103,1,1,1,1,1,1,0,1
43,17,5,1,1,2,3,3,4,3
44,17,11,10,9,12,7,7,7,11
44,103,1,1,1,2,1,2,1,2
45,17,10,7,11,15,11,11,14,11
45,103,1,1,2,3,2,2,4,2
46,126,1,3,6,4,3,5,1,1
47,124,4,5,3,2,3,2,2,3
48,126,3,2,2,3,1,3,3,2
49,17,9,10,8,8,13,5,8,6
49,103,1,0,0,0,0,2,0,3
50,126,2,0,2,3,1,2,3,2
51,124,5,6,6,8,4,6,4,5
52,126,2,3,5,3,3,2,2,2
52,239,2,0,0,0,0,1,0,1
53,17,9,8,11,14,6,7,12,14
54,17,13,11,12,11,9,7,14,12
54,103,2,2,2,2,0,0,0,3
55,103,1,0,1,0,1,1,2,1
56,126,0,0,2,2,0,2,2,5
57,17,8,5,4,10,8,8,7,2
58,17,7,8,12,12,6,0,8,11
59,126,3,2,0,2,3,2,3,2
60,2,1,1,2,2,1,2,1,0
60,3,1,2,2,2,2,2,2,2
60,4,2,2,1,2,2,2,3,1
60,7,0,2,2,2,1,1,0,1
60,8,1,1,1,2,1,1,2,1
60,10,1,0,1,2,1,1,0,1
60,18,1,0,1,1,1,1,0,1
60,19,1,2,1,1,1,1,1,1
60,20,1,2,2,3,1,2,2,1
60,21,1,2,1,1,1,2,1,1
60,22,1,1,1,1,1,1,1,1
60,23,51,78,61,52,53,65,76,42
60,25,2,1,2,1,3,1,2,1
60,28,1,1,1,0,0,1,1,2
60,29,2,2,1,1,1,1,1,1
60,30,1,1,1,1,1,1,1,1
60,33,2,0,1,2,1,1,1,1
60,39,0,0,1,0,1,1,1,1
60,40,1,1,2,3,0,1,0,1
60,41,2,1,3,1,1,1,1,1
60,42,3,3,2,2,1,1,2,1
60,45,2,6,4,2,3,1,3,1
60,47,9,17,25,14,10,6,17,7
60,48,8,17,24,13,8,5,15,7
60,49,1,1,2,1,0,1,1,0
60,51,3,2,2,2,1,0,0,0
60,55,2,3,1,2,2,4,3,3
60,56,0,0,1,1,1,1,1,0
60,61,2,2,1,2,1,1,2,1
60,64,1,3,3,1,2,1,1,2
60,65,0,1,2,1,0,1,1,1
60,67,1,1,2,0,2,1,2,1
60,87,1,1,4,2,3,2,2,2
60,88,2,1,2,3,2,2,2,2
60,89,2,3,1,2,2,0,0,1
60,91,1,2,1,1,1,1,0,1
60,92,2,3,4,3,2,2,3,3
60,94,1,2,2,1,1,2,1,1
60,99,6,3,6,6,3,4,6,2
60,100,1,1,2,1,1,1,1,1
60,105,1,1,1,3,0,2,3,1
60,106,1,2,1,0,1,1,1,1
60,109,5,9,10,9,3,4,6,5
60,111,1,1,1,1,0,1,2,1
60,112,0,1,0,1,1,1,1,2
60,114,2,4,3,2,4,1,2,0
60,116,1,0,1,2,4,3,2,1
60,121,1,0,1,1,1,1,1,1
60,122,1,1,1,1,1,1,1,1
60,124,3,5,6,6,5,4,4,3
60,125,65,71,103,78,53,60,70,67
60,126,5,5,7,6,6,4,6,6
60,128,1,1,1,2,2,1,2,0
60,153,1,1,1,1,1,1,1,1
60,154,3,1,2,2,1,1,3,1
60,156,0,1,2,0,0,2,2,0
60,163,1,1,2,1,1,1,1,1
60,164,2,1,2,4,0,3,3,3
60,165,1,1,2,1,1,1,1,1
60,166,1,0,1,2,1,1,1,1
60,167,0,1,1,1,0,0,1,1
60,168,1,1,1,1,1,1,1,1
60,169,3,1,3,1,1,2,1,2
60,170,1,2,2,2,2,2,2,1
60,172,1,1,2,1,3,1,2,1
60,174,2,1,2,3,3,2,3,3
60,175,1,2,2,1,2,1,0,1
60,176,1,1,3,2,1,2,2,2
60,180,0,0,0,3,0,1,1,1
60,192,1,0,1,1,2,1,1,0
60,201,0,1,2,1,1,0,1,0
60,210,1,1,3,3,2,2,2,1
60,211,3,2,2,0,0,3,3,1
60,213,1,1,1,1,1,1,1,0
60,214,2,1,2,3,3,3,2,3
60,215,1,1,2,1,2,1,2,0
60,216,1,2,0,1,0,1,1,1
60,226,2,0,3,4,3,4,2,2
60,229,2,0,3,3,2,3,0,2
60,235,2,4,6,6,0,2,2,3
60,236,3,4,0,3,2,2,3,1
60,237,1,4,0,2,1,1,3,0
60,240,0,0,1,3,2,1,1,0
60,243,2,1,2,0,0,1,1,1
