Store,Product,2024-04-15,2024-04-22,2024-04-29,2024-05-06,2024-05-13,2024-05-20,2024-05-27,2024-06-03
0,126,1,1,1,1,1,1,1,1
0,182,1,1,1,1,1,1,1,1
1,124,8,8,8,8,8,8,8,8
2,124,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
2,126,1,1,1,1,1,1,1,1
3,126,1,1,1,1,1,1,1,1
4,124,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
4,126,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
5,126,2,2,2,2,2,2,2,2
6,124,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25
7,126,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
8,126,1,1,1,1,1,1,1,1
9,49,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
9,124,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75
9,126,1,1,1,1,1,1,1,1
10,126,1,1,1,1,1,1,1,1
11,126,1,1,1,1,1,1,1,1
12,124,6,6,6,6,6,6,6,6
13,103,0,0,0,0,0,0,0,0
14,124,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
14,126,1,1,1,1,1,1,1,1
15,126,1,1,1,1,1,1,1,1
16,126,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
17,126,1,1,1,1,1,1,1,1
18,124,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25
18,126,1,1,1,1,1,1,1,1
19,17,16.75,16.75,16.75,16.75,16.75,16.75,16.75,16.75
19,103,2,2,2,2,2,2,2,2
20,126,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
21,124,12.75,12.75,12.75,12.75,12.75,12.75,12.75,12.75
21,126,1,1,1,1,1,1,1,1
22,126,1,1,1,1,1,1,1,1
23,124,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75
24,126,1,1,1,1,1,1,1,1
25,124,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
25,126,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
26,126,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25
27,124,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25
27,126,0,0,0,0,0,0,0,0
