Store,Product,15/04/2024,22/04/2024,29/04/2024,06/05/2024,13/05/2024,20/05/2024,27/05/2024,03/06/2024
0,126,0.930159833,1.381069767,1.519903664,0,0,0,0,0
0,182,0.705163674,1.047003103,1.152254498,0,0,0,0,0
1,124,6.943591257,10.30960875,11.34599604,0,0,0,0,0
2,124,7.250242392,10.76491396,11.84707141,0,0,0,0,0
2,126,1.422830706,2.112570766,2.324939785,0,0,0,0,0
3,126,0.81390605,1.208460094,1.329942171,0,0,0,0,0
4,124,8.560784619,12.7107626,13.98852911,0,0,0,0,0
4,126,0.618779412,0.91874268,1.011100524,0,0,0,0,0
5,126,2.608191728,3.872554601,4.261848363,0,0,0,0,0
6,124,5.740014504,8.522578819,9.379322521,0,0,0,0,0
7,126,0.86995318,1.291676971,1.421524537,0,0,0,0,0
8,126,2.230023303,3.311062952,3.64391201,0,0,0,0,0
9,49,0.620833323,0.921792258,1.014456665,0,0,0,0,0
9,124,15.40176653,22.86802047,25.16685899,0,0,0,0,0
9,126,1.812891481,2.691719774,2.962308525,0,0,0,0,0
10,126,0.39395424,0.584929891,0.643730755,0,0,0,0,0
11,126,0.661203047,0.981731855,1.080421771,0,0,0,0,0
12,124,6.060105601,8.997839221,9.902359115,0,0,0,0,0
13,103,1.1300787,1.677902519,1.846575927,0,0,0,0,0
14,124,12.78012751,18.97549979,20.88303743,0,0,0,0,0
14,126,1.22468875,1.818376311,2.001171036,0,0,0,0,0
15,126,0.555423569,0.824674073,0.907575544,0,0,0,0,0
16,126,1.923992175,2.856678315,3.143849746,0,0,0,0,0
17,126,1.814554861,2.694189504,2.965026528,0,0,0,0,0
18,124,8.907859553,13.22608769,14.55565795,0,0,0,0,0
18,126,1.39062436,2.064751876,2.272313836,0,0,0,0,0
19,17,14.21005945,21.09861422,23.2195808,0,0,0,0,0
19,103,4.590330535,6.815567062,7.500711111,0,0,0,0,0
20,126,1.347944038,2.001381581,2.202573157,0,0,0,0,0
21,124,9.781988702,14.52396499,15.98400612,0,0,0,0,0
21,126,1.10876428,1.646255591,1.811747649,0,0,0,0,0
22,126,2.018103499,2.996411616,3.297629925,0,0,0,0,0
23,124,6.760066535,10.03711747,11.04611221,0,0,0,0,0
24,126,1.008573603,1.497495872,1.648033659,0,0,0,0,0
25,124,7.042468179,10.45641785,11.50756333,0,0,0,0,0
25,126,1.689548371,2.508584108,2.7607629,0,0,0,0,0
26,126,2.966822823,4.405037884,4.847860245,0,0,0,0,0
27,124,6.555676769,9.73364648,10.71213439,0,0,0,0,0
27,126,0.648283594,0.962549489,1.059311072,0,0,0,0,0
28,17,15.316404,22.74127709,25.02737457,0,0,0,0,0
28,103,1.595852292,2.369467348,2.607661241,0,0,0,0,0
29,17,8.694637935,12.90950346,14.20724867,0,0,0,0,0
30,126,0.459130667,0.681701639,0.750230614,0,0,0,0,0
31,126,0.751881043,1.116367467,1.228591809,0,0,0,0,0
32,124,6.408887696,9.515699044,10.47227749,0,0,0,0,0
32,126,0.839034265,1.245769614,1.37100228,0,0,0,0,0
33,126,1.335168402,1.98241275,2.181697459,0,0,0,0,0
34,17,7.000200675,10.3936605,11.4384972,0,0,0,0,0
34,103,1.111132691,1.649772128,1.81561769,0,0,0,0,0
35,17,8.196095446,12.16928449,13.39261818,0,0,0,0,0
36,124,7.68138207,11.40505552,12.55156408,0,0,0,0,0
36,126,0.779468523,1.157328421,1.273670418,0,0,0,0,0
37,103,2.687206562,3.989873147,4.390960513,0,0,0,0,0
38,126,0.764237894,1.1347145,1.248783202,0,0,0,0,0
39,17,6.060426702,8.998315982,9.902883802,0,0,0,0,0
40,17,5.522610482,8.199784703,9.024079092,0,0,0,0,0
40,103,0.460892527,0.460892527,0.460892527,0,0,0,0,0
41,17,8.654032222,12.84921348,14.14089795,0,0,0,0,0
41,103,1.288383521,1.912948146,2.105249832,0,0,0,0,0
42,17,3.037638054,4.510181937,4.963574045,0,0,0,0,0
42,103,0.628910059,0.933784322,1.027654247,0,0,0,0,0
43,17,4.668496787,6.931625661,7.628436657,0,0,0,0,0
44,17,10.24004921,15.20407769,16.73248806,0,0,0,0,0
44,103,1.280523273,1.901277518,2.092405998,0,0,0,0,0
45,17,12.12720571,18.00606366,19.81614743,0,0,0,0,0
45,103,1.638341179,2.432553406,2.677089109,0,0,0,0,0
46,126,1.475322459,2.19050874,2.410712578,0,0,0,0,0
47,124,4.357021584,6.469157846,7.119478642,0,0,0,0,0
48,126,1.421477023,2.110560863,2.322727834,0,0,0,0,0
49,17,7.15291074,10.62039922,11.68802914,0,0,0,0,0
